hostname,st_mass,
55cnc,0.91,
upsAnd,1.3,
gamLib,1.78,
XO2S,0.98,
WASP8,1.34,
WASP53,0.84,
WASP47,1.06,
WASP41,0.81,
TYC14226141,1.15,
TOI969,0.73,
Pr0211,0.94,
TOI2202,0.82,
TOI1130,0.74,
TIC279401253,1.13,
TIC139270665,1.03,
Kepler93,0.91,
Kepler94,0.81,
Kepler68,1.03,
Kepler56,1.32,
Kepler539,1.05,
Kepler48,0.88,
Kepler454,1.03,
Kepler432,1.32,
Kepler424,1.01,
Kepler407,1.0,
KELT6,1.42,
HIP8541,2.02,
HIP67851,1.9,
HIP65407,0.93,
HI14810,1.03,
HD99706,1.46,
HD9446,1.0,
HD92788,1.15,
HD83443,1.0,
HD80653,1.12,
HD75898,1.29,
HD75784,1.26,
HD74156,1.1,
HD73526,1.01,
HD72659,1.09,
HD68988,1.17,
HD67087,1.36,
HD5319,1.27,
HD50499,1.25,
HD47366,1.81,
HD4732,1.39,
HD39091,1.07,
HD38529,0.98,
HD4203,1.25,
HD37605,0.95,
HD37124,0.85,
HD33844,1.78,
HD33142,1.52,
HD30177,0.98,
HD27894,0.81,
HD24040,1.1,
HD219828,1.04,
HD207832,1.07,
HD204313,1.04,
HD202696,1.91,
HD190360,1.0,
HD191939,1.1,





