6406.7498791,-10204.86,3.23
6485.6997945,-10319.74,2.90
6487.4589042,-10568.51,2.52
6543.4014534,-10198.56,2.31
6622.3076817,-10367.71,2.28
6775.7086503,-10527.24,3.05
6861.5573096,-10451.14,2.02
7124.7402823,-10465.50,2.61
7150.6437500,-10537.21,4.05
7177.5498821,-10513.54,3.34
7209.6315528,-10258.98,3.18
5002.4851700,-10299.50,10.0
5003.5211800,-10691.00,10.3
5004.5991000,-10268.10,13.7
5005.4992600,-10637.70,10.1
5006.5533500,-10256.40,10.1
5007.5310700,-10597.50,10.1
5008.4762400,-10402.70,10.6
5010.4309500,-10568.10,10.2
5011.5225900,-10383.50,10.2
5013.6064800,-10309.00,09.3
5014.5742600,-10686.20,10.1
5015.5851800,-10268.00,10.3
5016.5412300,-10680.80,08.4
4336.7382708,101.670,2.159,HAT-P-7
4336.8523448,49.103,1.934,HAT-P-7
4338.8187144,135.287,1.416,HAT-P-7
4339.8975767,-263.723,2.138,HAT-P-7
4343.8305737,-167.728,2.057,HAT-P-7
4344.9868357,80.727,2.570,HAT-P-7
4983.9909505,-87.721,2.569,HAT-P-7
4985.0217015,97.485,2.256,HAT-P-7
4987.0112905,178.990,2.242,HAT-P-7
4988.0101525,-236.554,2.674,HAT-P-7
5014.9539704,-52.932,2.161,HAT-P-7
5042.0377185,176.423,2.423,HAT-P-7
5042.9866915,-239.906,2.310,HAT-P-7
5044.0744494,173.432,2.420,HAT-P-7
5048.9240494,105.268,2.648,HAT-P-7
5075.7555904,-95.274,2.168,HAT-P-7
5135.8321675,-215.848,3.428,HAT-P-7
5169.7475797,191.148,2.468,HAT-P-7
5170.6989147,-159.091,2.553,HAT-P-7
5256.1574554,128.376,2.229,HAT-P-7
5290.0968916,-210.119,2.333,HAT-P-7
5312.9952667,195.927,2.657,HAT-P-7
5321.0442538,-191.599,2.340,HAT-P-7
5322.1211338,197.803,2.341,HAT-P-7
5343.0338359,-216.910,2.414,HAT-P-7
5351.9535039,-171.556,2.200,HAT-P-7
5372.8757370,196.091,2.239,HAT-P-7
5376.0627530,-208.173,2.545,HAT-P-7
5400.0251872,-168.217,1.946,HAT-P-7
5400.8601482,26.136,2.288,HAT-P-7
5401.6806182,81.962,1.201,HAT-P-7
5401.9944807,-72.678,1.537,HAT-P-7
5406.9945012,-200.678,2.272,HAT-P-7
5428.9016984,-211.121,2.819,HAT-P-7
5432.0357404,179.527,2.373,HAT-P-7
5486.8773639,67.729,2.768,HAT-P-7
5706.9099737,-155.741,2.302,HAT-P-7
5841.7848151,50.564,2.697,HAT-P-7
5901.6846469,242.076,2.551,HAT-P-7
6111.1197873,252.248,2.539,HAT-P-7
6450.1204538,-0.255,2.556,HAT-P-7
6486.1276152,302.939,2.650,HAT-P-7
4336.73960,111.08,1.72,1
4336.85367,58.89,1.78,1
4337.76212,-236.06,1.70,1
4338.77440,151.06,1.54,1
4338.85456,131.12,1.57,1
4339.89886,-256.42,1.83,1
4343.83180,-162.19,1.75,1
4344.98805,84.42,2.15,1
4983.99020,-77.44,2.20,1
4985.02095,110.41,1.96,1
4987.01053,189.80,2.23,1
4988.00940,-221.82,2.28,1
5014.95322,-41.51,2.08,1
5016.05508,4.10,2.23,1
5042.03696,189.91,2.53,1
5042.98594,-228.74,2.40,1
5044.07369,191.34,2.55,1
5000.03550,196.69,12.26,2
5000.07080,184.21,11.29,2
5000.07507,210.15,11.25,2
5000.07933,195.95,11.94,2
5000.08361,193.11,13.30,2
5000.08787,225.66,12.45,2
5000.09214,210.55,11.67,2
5000.09641,224.15,12.23,2
5000.10068,195.24,11.97,2
5013.75919,74.13,8.47,2
5013.76487,81.76,7.53,2
5013.77030,55.46,8.11,2
5013.77573,44.87,7.60,2
5013.78114,53.93,7.71,2
5013.78703,61.60,7.50,2
5013.79245,42.35,6.83,2
5013.79787,36.87,7.31,2
5013.80330,30.06,7.10,2
5013.80871,25.86,6.95,2
5013.81412,29.68,7.44,2
5013.81955,11.37,6.86,2
5013.82496,5.68,6.69,2
5013.83039,15.44,6.63,2
5013.83580,13.27,5.85,2
5013.84121,3.74,5.69,2
5013.84664,12.79,6.91,2
5013.85206,5.91,6.67,2
5013.85748,-4.64,6.31,2
5013.86290,0.95,6.07,2
5013.86832,-10.16,6.26,2
5013.87374,-3.95,5.32,2
5013.88433,-7.40,5.70,2
5013.88976,-1.91,6.11,2
5013.89518,-22.65,5.91,2
5013.90060,5.42,6.32,2
5013.90603,-5.14,5.87,2
5013.91145,-13.89,6.19,2
5013.92034,-14.44,5.90,2
5013.92575,-9.34,5.80,2
5013.93118,2.95,5.79,2
5013.93660,-37.18,5.53,2
5013.94201,-22.51,5.80,2
5013.94744,-35.31,5.01,2
5013.95286,-11.12,6.17,2
5013.95829,5.23,5.75,2
5013.96372,-59.30,5.56,2
5013.96913,-63.07,6.04,2
5013.97456,-55.50,5.88,2
5013.98000,-64.15,5.92,2
5013.98542,-60.13,5.24,2
5013.99086,-55.52,4.96,2
5013.99627,-69.24,4.86,2
5014.00486,-76.79,5.51,2
5014.01029,-80.53,5.47,2
5014.01572,-73.56,5.96,2
5014.02114,-90.86,5.19,2
5014.02656,-81.24,6.44,2
5014.03199,-109.25,5.29,2
5014.03742,-100.31,5.77,2
5014.04285,-107.39,6.12,2
5014.04828,-107.15,5.91,2
5014.06427,-114.12,5.32,2
5014.06971,-110.83,5.39,2
5014.07514,-114.67,5.97,2
5014.11226,-146.78,5.93,2
5014.11769,-137.88,5.84,2
5014.12312,-143.30,6.07,2
5014.12855,-136.48,5.96,2
5014.13397,-111.90,7.02,2
