,15075,136925,k,rk19.247,2450863.135671,-6.36,1.373232,118710.0,
,15076,136925,k,rk20.163,2450955.903542,-24.95,1.363995,207385.0,
,15077,136925,k,rk21.73,2450982.825,-19.28,1.468198,201005.0,
,15078,136925,k,rk29.344,2451229.129815,-10.23,1.353884,136274.0,
,15079,136925,k,rk31.39,2451340.850579,-16.54,1.645231,85915.0,
,15080,136925,k,rk32.278,2451369.796806,-8.64,1.377991,99346.0,
,15081,136925,k,rk39.122,2451581.166817,-9.87,1.438384,91702.0,
,15082,136925,k,rk41.238,2451704.92206,-7.46,1.52629,79579.0,
,15083,136925,k,rk50.167,2452003.962755,-6.74,1.505893,105944.0,
,15084,136925,k,rk51.130,2452007.005208,-3.51,1.501796,93591.0,
,15085,136925,k,rk51.275,2452007.98706,-2.50,1.432384,94406.0,
,15086,136925,k,rk51.437,2452009.05875,-4.12,1.557283,102422.0,
,15087,136925,k,rk54.1057,2452100.874248,-1.41,1.438323,86251.0,
,15088,136925,k,rk55.33,2452127.815775,-0.13,1.56328,92852.0,
,15089,136925,k,rk62.46,2452363.108958,5.87,1.617046,94661.0,
,15090,136925,k,rk72.112,2452712.061285,13.12,1.608951,83396.0,
,15091,136925,k,rk74.666,2452806.903194,-2.91,1.686268,95781.0,
,15092,136925,k,rk75.630,2452833.792407,1.84,1.689483,97169.0,
,15093,136925,k,rk76.32,2452848.792396,0.92,1.539394,91601.0,
,15094,136925,k,rk84.367,2453074.015671,14.90,1.572297,103188.0,
,15095,136925,k,rk86.246,2453180.885706,5.54,1.540761,98057.0,
,15096,136925,k,rk86.436,2453181.837407,7.46,1.422132,100572.0,
,15097,136925,k,rk88.56,2453195.841748,-2.16,1.474487,97990.0,
,15098,136925,j,rj06.386,2453426.15353,6.31,1.284463,0.156,94363.0,
,15099,136925,j,rj20.1622,2453934.795625,9.31,1.103372,0.156,88645.0,
,15100,136925,j,rj115.906,2455615.094361,-22.50,2.109264,0.159,15898.0,
,15101,136925,j,rj115.907,2455615.102094,-14.97,2.016659,0.156,21856.0,
,15102,136925,j,rj118.1319,2455673.914315,-13.93,1.553781,0.157,46011.0,
,15103,136925,j,rj130.1665,2455794.750645,-8.09,1.855435,0.147,22230.0,
,15104,136925,j,rj159.66,2456192.703721,-3.52,1.564651,0.156,45259.0,
,15105,136925,j,rj159.465,2456194.702159,-2.54,1.495849,0.156,45257.0,
,15106,136925,j,rj166.609,2456328.149107,-4.00,1.612816,0.154,45525.0,
,15107,136925,j,rj266.360,2457971.733247,16.28,1.390932,0.1545,46117.0,
,15108,136925,j,rj333.276,2458645.767441,7.25,1.622799,0.157,23387.0,
,15109,136925,j,rj333.474,2458646.801649,8.58,1.65422,0.1571,24262.0,
,15110,136925,j,rj333.681,2458647.836887,4.19,1.591962,0.1578,23150.0,
,15111,136925,j,rj335.175,2458659.794293,12.90,1.84314,0.1576,24119.0,
,15112,136925,j,rj335.277,2458660.788639,18.04,1.88198,0.1569,24131.0,
,15113,136925,j,rj337.92,2458679.78796,5.14,1.665938,0.1572,24657.0,
,15114,136925,j,rj338.73,2458709.751425,-4.27,1.76523,0.1589,24472.0,
,15115,136925,j,rj339.73,2458713.745375,-13.06,1.670977,0.1573,24671.0,
,15116,136925,j,rj339.265,2458714.728928,-3.57,1.659609,0.1571,23641.0,
,15117,136925,j,rj339.466,2458715.72608,-5.58,1.573456,0.1573,23306.0,
,15118,136925,j,rj341.64,2458722.724033,0.03,1.597327,0.1569,24048.0,
,15119,136925,j,rj341.263,2458723.726013,-4.38,1.548489,0.1569,24466.0,
,15120,136925,j,rj343.469,2458739.718893,-3.45,1.871482,0.1565,23604.0,
,15121,136925,j,rj346.80,2458765.725066,-6.02,1.928341,0.156,22729.0,
,15122,136925,j,rj347.73,2458774.691139,-8.85,2.016683,0.1398,22106.0,
,15123,136925,j,rj359.165,2458853.17671,-6.11,1.746598,0.1533,23097.0,
,15124,136925,j,rj363.565,2458881.171651,-0.39,1.518956,0.1552,32952.0,
,15125,136925,j,rj364.144,2458885.045633,0.81,1.551104,0.1558,46546.0,
,15126,136925,j,rj366.269,2458917.99187,3.05,1.433647,0.1575,46687.0,
,15127,136925,j,rj366.477,2458919.005738,1.26,1.851829,0.1578,23862.0,
