13197.9140,-22.64712300000,3.3275100
13198.9190,-7.00700170000,2.8102500
13199.8660,-44.62199200000,3.1874200
13208.0010,-19.89932000000,3.0244200
13398.1680,0.95659719000,1.7480000,0.1560
13398.1730,2.34521660000,1.4421600,0.1560
13399.1570,3.95098660000,1.3281200,0.1550
13401.1470,7.36241530000,1.3739200,0.1540
13429.1280,0.57589656000,1.3772500,0.1550
13981.7400,-46.76268300000,1.7700300,0.1560
13982.7960,-47.83601300000,1.7623400,0.1570
14549.0280,-79.72959700000,1.9290300,0.1540
14674.8120,-53.29832700000,1.5138100,0.1550
14688.8140,-61.92209000000,1.6411600,0.1560
15041.8820,-46.59517700000,1.5034000,0.1530
15231.1540,-41.44506500000,1.6990000,0.1550
15395.9170,-22.57531400000,1.5812000,0.1540
15399.8940,-30.75113900000,1.5430500,0.1540
15606.1530,-8.00981870000,1.7496900,0.1540
15636.0760,-5.61554860000,1.6007300,0.1530
15668.0280,-4.47106090000,1.7788900,0.1530
15668.9890,-11.42830800000,1.6852400,0.1540
15796.7260,-60.77667700000,1.5340000,0.1520
15992.0450,14.20379800000,2.0452300,0.1510
16099.8130,-48.71067800000,1.7410600,0.1530
16166.7320,-12.33458400000,2.0286400,0.1540
16327.1430,30.35743700000,1.6838000,0.1520
16328.1430,32.78565000000,1.6195300,0.1520
16446.8430,-32.84443300000,2.0391300,0.1510
16472.7990,-9.29153010000,2.0953400,0.1520
16473.7860,-10.56485100000,2.0358800,0.1520
16489.7670,-5.42493140000,2.0150100,0.1530
16588.6930,27.07535300000,2.3622900,0.1530
16849.7670,21.31092100000,1.9737800,0.1570
16863.7480,25.95212800000,2.0161500,0.1570
16880.7590,25.82466100000,1.8249800,0.1560
16893.7400,36.66177100000,1.7176100,0.1560
17062.1460,40.92955600000,1.9310300,0.1600
17179.9290,34.45165900000,2.0277800,0.1570
17232.8180,42.51779500000,1.6601600,0.1570
17244.7430,38.07253300000,1.4141900,0.1570
17597.8650,38.46778700000,1.5719000,0.1560
17601.8020,41.65318900000,1.5135200,0.1540
17601.8040,41.13254400000,1.4230400,0.1540
17601.8060,40.09194700000,1.5255200,0.1540
17652.7650,44.31348200000,1.5106900,0.1560
