13191.0730,0.62109912000,2.7451000
13198.1100,9.04572830000,2.9621600
13199.1100,8.05774460000,2.8833900
13200.0280,19.75206500000,2.7663700
13604.0530,-35.75487000000,1.6979800,0.2280
13962.0290,-20.02821200000,1.6821100,0.2300
13964.0300,-21.08034300000,1.7522300,0.2320
13981.8400,-10.64437400000,1.6247900,0.2330
13983.8840,-1.65141320000,1.6807500,0.2370
14023.7380,5.37745830000,1.7613800,0.2430
14249.0690,-11.84906200000,1.6365200,0.2530
14250.1110,-22.52670500000,1.7534900,0.2500
14256.0840,-14.14064600000,1.5485700,0.2520
14279.0540,0.34521312000,1.4690100,0.2550
14280.0780,-3.68840360000,2.1369200,0.2570
14304.9810,-0.21770127000,1.5694800,0.2580
14305.9790,4.80889520000,1.4386400,0.2580
14306.9840,13.81236100000,1.4183700,0.2540
14308.0080,8.82157680000,1.5758800,0.2510
14309.9730,10.69355200000,1.2852800,0.2450
14310.9640,13.79579100000,1.2937900,0.2420
14311.9620,11.32915700000,1.3885600,0.2420
14312.9580,16.30060500000,1.3526400,0.2460
14313.9550,18.04838400000,1.3546200,0.2470
14314.9890,22.05361500000,1.7358700,0.2520
14319.0530,36.47590800000,1.3118300,0.2650
14336.9750,31.23774900000,1.5417100,0.2640
14337.0290,29.83917300000,1.6971800,0.2640
14339.8280,27.45430400000,1.9950300,0.2570
14339.8320,26.10349000000,1.7393700,0.2570
14343.9000,3.56874940000,1.2989800,0.2480
14399.7650,-33.21597900000,1.5785300,0.2360
14428.7240,3.78805370000,1.3859600,0.2620
14634.1100,12.54346100000,1.4009500,0.2380
14635.0150,1.50543580000,1.6986500,0.2400
14635.0310,7.94043750000,1.3931200,0.2400
14636.0790,10.12095500000,1.4322700,0.2410
14637.1230,10.66687100000,1.4991400,0.2430
14638.0740,12.36413600000,1.3814100,0.2450
14639.0870,15.40913200000,1.3585600,0.2420
14641.1120,25.89709500000,1.3382300,0.2460
14642.0800,30.63733600000,1.4018500,0.2450
14644.1080,30.33952800000,1.4966800,0.2480
14672.9810,3.48357470000,1.3663900,0.2390
14674.9200,3.77302960000,1.5637900,0.2390
14675.9200,1.75659330000,1.4134900,0.2390
14675.9280,0.14917480000,1.4646400,0.2390
14805.7810,-8.18642730000,1.7366300,0.2150
14964.1220,-6.32033320000,1.5154400,0.2190
14984.0860,-8.95456770000,1.4730600,0.2070
14985.1150,-13.70655500000,1.6099300,0.2030
14986.1160,-15.27358500000,1.5004900,0.2020
14989.0800,-7.47381320000,1.5325800,0.2060
15015.0200,-24.10133000000,1.5288300,0.2250
15045.0870,-48.39595600000,1.5934000,0.2030
15049.0170,-43.02466300000,1.5460400,0.2140
15395.9510,-18.76949000000,1.5709300,0.2400
15400.1110,-12.02703500000,1.4559700,0.2500
15414.0430,1.88715840000,1.4664700,0.2470
15426.0550,0.12029311000,1.5307600,0.2450
15490.7800,-6.20490570000,1.5002400,0.2460
15528.7950,-19.41710700000,1.6061900,0.2540
15753.0490,-2.06056070000,1.7384900,0.2310
15843.7710,-22.06894800000,1.4606200,0.2400
15904.6860,-10.55487200000,1.5529300,0.2310
16584.7130,-7.01781510000,1.6421200,0.2270
16585.7930,-6.93951820000,1.6567500,0.2280
17601.1100,-43.44847100000,1.7144200,0.2270
