13190.9750,36.41598400000,9.3746100
13190.9820,12.33763800000,3.6080000
13198.0380,11.03607100000,4.0571100
13199.0230,2.28119550000,3.7888900
13199.9570,-2.68404500000,3.6976900
13603.8710,51.22522800000,2.0419500,0.1730
13928.0450,-28.68022400000,1.9791400,0.1680
13931.0810,-31.73151600000,1.9902800,0.1700
13932.0210,-31.30781200000,1.9401100,0.1700
13961.8780,-13.53836800000,1.9463600,0.1690
13981.7630,9.98053230000,1.8130800,0.1680
13983.7800,18.06163100000,1.7281200,0.1690
14023.7190,39.35199900000,2.1152900,0.1690
14083.6920,-21.37916300000,2.1503700,0.1720
14083.6980,-25.63377800000,2.2610500,0.1720
14085.7000,-25.27793500000,1.7717900,0.1660
14217.1350,-29.83207700000,2.0545200,0.1700
14250.0740,-7.69855770000,1.7189300,0.1700
14286.0020,37.65249600000,1.8768500,0.1710
14318.8700,23.85058400000,1.5909500,0.1700
14427.7370,38.03230600000,1.7156300,0.1720
14690.0320,8.59994300000,1.8003700,0.1710
15351.9480,-29.61353900000,1.9451200,0.1680
15396.9870,16.77045500000,1.6077400,0.1690
15850.7540,46.29066300000,1.8548300,0.1670
16613.6960,-29.03478400000,1.9833600,0.1680
16880.7730,3.00733520000,2.0683100,0.1690
17210.1260,-34.71198000000,2.2984900,0.1660
