13014.8520,6.24739810000,2.6564600
13015.8580,-2.44537380000,2.6831100
13016.8500,-15.89422600000,2.5355300
13071.7670,-33.81559800000,2.3696900
13072.8430,-35.89328000000,2.5428300
13368.9550,7.73893500000,1.3134900,0.1360
13369.8080,5.85731420000,1.1184500,0.1370
13397.7960,-4.62590750000,0.9898860,0.1370
13398.8700,-13.95972700000,1.0251100,0.1360
13428.7920,17.02687000000,1.1861800,0.1350
13605.1390,-0.43344281000,0.9235380,0.1370
13692.9170,-11.89202400000,0.9867410,0.1370
13693.9790,-1.86509490000,0.9827680,0.1370
13694.9750,-1.53224610000,1.0433800,0.1360
13695.9940,3.23284810000,1.0730800,0.1360
13696.9810,6.03336090000,1.0196000,0.1370
13723.9250,9.12260150000,1.0478500,0.1370
13724.9320,-0.75620877000,1.1957000,0.1380
13746.8520,-21.31262400000,1.2790900,0.1360
13747.8910,-10.24473000000,1.4487700,0.1360
13748.8090,-6.89327710000,1.3459500,0.1400
13749.8240,-3.07146040000,1.2721600,0.1360
13750.8220,4.65260190000,1.3077600,0.1360
13751.8750,10.19895400000,0.9516330,0.1370
13752.8780,11.40480400000,1.1637600,0.1360
14344.1370,-10.72814700000,1.1524200,0.1380
14345.1220,-16.03437600000,1.0845600,0.1370
14398.0420,6.12728350000,1.1499500,0.1360
14427.9490,16.80907500000,1.0889000,0.1350
14492.8570,-19.10192700000,1.2782500,0.1370
14544.8090,-13.94276200000,1.2839900,0.1350
15173.0590,11.37541000000,1.2092100,0.1370
15189.8260,9.59002460000,1.2641400,0.1360
15285.7280,13.67064900000,1.1567100,0.1340
15469.1320,12.92212900000,1.2738100,0.1350
15931.9850,-10.94891900000,1.0663500,0.1350
16197.1530,11.81635500000,1.0781700,0.1350
16319.7460,13.62672000000,1.1914800,0.1350
16586.0390,-24.46531000000,1.4537000,0.1360
16614.0520,20.28067800000,1.1742800,0.1360
16640.9510,-18.51819000000,1.2370000,0.1340
16908.1410,12.85016600000,1.3548600,0.1350
17297.1030,-15.16765400000,1.1435000,0.1360
17714.1040,-22.75161400000,1.6832500,0.1310
