,72511,45350,k,rk37.90,2451543.998299,-28.13,1.434293,90577.0,
,72512,45350,k,rk38.211,2451551.955602,-28.43,1.376253,82230.0,
,72513,45350,k,rk39.194,2451581.927338,-22.65,1.429643,77128.0,
,72514,45350,k,rk47.117,2451898.020266,14.03,1.252704,78362.0,
,72515,45350,k,rk47.575,2451900.925405,14.49,1.453484,99319.0,
,72516,45350,k,rk48.54,2451971.975856,-4.38,1.334698,60574.0,
,72517,45350,k,rk48.123,2451972.954803,-2.73,1.289659,72381.0,
,72518,45350,k,rk48.192,2451973.758715,-5.41,1.329098,104282.0,
,72519,45350,k,rk48.317,2451974.806759,-7.34,1.152077,104888.0,
,72520,45350,k,rk59.106,2452236.044213,-18.21,1.379024,83998.0,
,72521,45350,k,rk60.82,2452307.855787,-18.05,1.507012,86418.0,
,72522,45350,k,rk61.225,2452334.782546,-15.15,1.54059,86539.0,
,72523,45350,k,rk67.503,2452538.0511,-29.67,1.416642,88341.0,
,72524,45350,k,rk68.90,2452573.061817,-30.60,1.513112,108696.0,
,72525,45350,k,rk68.484,2452575.012512,-25.06,1.544212,99892.0,
,72526,45350,k,rk69.77,2452600.910914,-27.34,1.517792,100974.0,
,72527,45350,k,rk70.202,2452652.951933,-25.68,1.500156,91960.0,
,72528,45350,k,rk72.42,2452711.749595,-19.93,1.593748,85886.0,
,72529,45350,k,rk78.297,2452899.144537,-1.42,1.396396,107064.0,
,72530,45350,k,rk79.192,2452925.069259,0.87,1.42655,106975.0,
,72531,45350,k,rk80.63,2452987.972014,-6.32,2.032756,45042.0,
,72532,45350,k,rk80.67,2452988.000509,-3.85,1.362831,128068.0,
,72533,45350,k,rk80.280,2452989.001817,-14.10,1.564458,111516.0,
,72534,45350,k,rk80.468,2452989.880081,-10.24,1.476031,111738.0,
,72535,45350,k,rk81.79,2453014.825637,-18.35,1.489814,105837.0,
,72536,45350,k,rk81.378,2453015.839225,-17.61,1.419373,111495.0,
,72537,45350,k,rk81.668,2453016.839606,-19.03,1.632871,111566.0,
,72538,45350,k,rk81.955,2453017.820937,-17.84,1.474186,110529.0,
,72539,45350,k,rk82.118,2453044.779363,-10.14,1.474302,97723.0,
,72540,45350,k,rk82.234,2453045.778704,-9.07,1.364833,101857.0,
,72541,45350,k,rk84.72,2453071.828229,-10.39,1.300088,99250.0,
,72542,45350,j,rj02.225,2453302.103206,-16.35,1.2129,0.143,28991.0,
,72543,45350,j,rj02.227,2453302.108067,-14.73,1.00405,0.143,102372.0,
,72544,45350,j,rj03.221,2453338.997847,-17.93,0.955209,0.143,101641.0,
,72545,45350,j,rj03.607,2453340.100567,-14.37,0.963214,0.143,104541.0,
,72546,45350,j,rj04.430,2453368.897164,-18.75,0.945916,0.143,97666.0,
,72547,45350,j,rj04.857,2453369.79669,-25.30,0.961335,0.143,96849.0,
,72548,45350,j,rj14.162,2453724.044433,5.10,0.911837,0.144,97922.0,
,72549,45350,j,rj14.671,2453725.016956,5.54,0.90676,0.143,99495.0,
,72550,45350,j,rj15.203,2453747.015463,68.63,0.979119,0.142,96499.0,
,72551,45350,j,rj16.179,2453775.90213,64.67,0.957135,0.143,98447.0,
,72552,45350,j,rj16.606,2453776.931713,67.41,0.969882,0.143,98960.0,
,72553,45350,j,rj45.234,2454344.105185,-23.86,0.956655,0.144,69706.0,
,72554,45350,j,rj801.207,2454703.114821,10.22,0.927207,0.1452,69702.0,
,72555,45350,j,rj807.188,2454818.946028,15.70,1.034828,0.1456,70912.0,
,72556,45350,j,rj808.184,2454819.947651,16.28,1.073712,0.145,72506.0,
,72557,45350,j,rj810.175,2454821.970996,17.91,1.004115,0.1452,71856.0,
,72558,45350,j,rj66.107,2454864.891,5.87,1.146257,0.145,44964.0,
,72559,45350,j,rj829.164,2455143.917236,-16.02,1.010299,0.145,73133.0,
,72560,45350,j,rj832.250,2455167.084968,-18.28,1.08226,0.1457,73322.0,
,72561,45350,j,rj80.1191,2455174.049184,-16.91,1.078972,0.146,45610.0,
,72562,45350,j,rj82.437,2455197.924533,-19.87,1.134614,0.145,46181.0,
,72563,45350,j,rj835.200,2455200.971826,-17.05,0.938531,0.1459,74055.0,
,72564,45350,j,rj838.187,2455257.944459,-19.19,0.954967,0.1447,75542.0,
,72565,45350,j,rj838.188,2455257.947317,-16.86,1.019515,0.1456,75119.0,
,72566,45350,j,rj87.79,2455284.791154,-20.50,1.06898,0.146,46949.0,
,72567,45350,j,rj89.316,2455312.812269,-20.57,1.045522,0.145,47818.0,
,72568,45350,j,rj90.680,2455320.736581,-24.16,1.111932,0.144,46920.0,
,72569,45350,j,rj844.109,2455339.746856,-22.19,1.142455,0.1438,40810.0,
