13014.8820,60.43956500000,4.4863000
13015.8870,69.30361700000,4.9295000
13016.8780,58.93371300000,4.5152500
13397.9280,73.73676400000,3.0105900,0.1650
13775.8570,-30.95890500000,2.9671100,0.1730
14024.1340,14.91577600000,3.4991000,0.1690
14084.9710,9.85122180000,3.4469800,0.1640
14129.8790,16.54060400000,3.0655900,0.1710
14398.1290,55.76307900000,2.3286200,0.1630
14839.0220,54.26570700000,3.0768500,0.1620
15164.0920,72.48757900000,2.7022800,0.1610
15522.0440,-70.18788500000,2.5533000,0.1630
15543.0340,-49.36408500000,2.7513900,0.1670
15545.1240,-64.27941300000,2.7694100,0.1640
15546.0770,-56.99155700000,2.7611100,0.1610
15556.0780,-44.74190200000,2.8182300,0.1650
15557.0220,-57.54795500000,2.9668000,0.1630
15558.0310,-63.62246300000,2.9482700,0.1630
15584.9570,-50.72422200000,3.0819300,0.1610
15636.7610,-10.75719000000,2.8830000,0.1640
15663.8120,-3.57793170000,3.3415200,0.1550
15878.1230,32.29766700000,2.5162800,0.1620
15972.9710,27.26503900000,3.1260200,0.1640
16027.8190,38.67474800000,2.9601900,0.1640
16639.9890,72.90011700000,2.6424200,0.1660
17295.1250,-38.42719700000,2.7848500
17669.1510,33.47630700000,2.5338200,0.1680
17716.1170,31.68559300000,2.5932400,0.1700
