2459897.92814,-931.16,153.49,HPF,
2459916.87028,-596.19,98.95,HPF,
2459934.00802,-760.52,98.52,HPF,
2459949.96576,-996.36,85.19,HPF,
2459950.77949,-714.25,133.49,HPF,
2459974.71268,-764.69,103.10,HPF,
2459992.66686,-834.54,182.10,HPF,
2460010.80679,-859.71,103.81,HPF,
2460060.66204,-909.61,133.72,HPF,
2460235.08368,-20.19,8.10,M-X,Blue,
2460244.11533,36.42,9.01,M-X,Blue,
2460273.05602,-37.73,6.30,M-X,Blue,
2460284.10979,56.42,6.13,M-X,Blue,
2460285.14655,39.01,7.05,M-X,Blue,
2460290.15139,-57.64,7.46,M-X,Blue,
2460294.03632,-56.69,7.77,M-X,Blue,
2460303.11772,83.47,7.51,M-X,Blue,
2460307.06279,25.42,6.77,M-X,Blue,
2460309.02281,-6.17,7.30,M-X,Blue,
2460311.08761,-42.94,8.45,M-X,Blue,
2460313.13905,-126.41,16.73,M-X,Blue,
2460235.08368,-31.90,7.34,M-X,Red,
2460244.11533,30.41,8.40,M-X,Red,
2460273.05602,-45.33,5.89,M-X,Red,
2460284.10979,48.91,5.53,M-X,Red,
2460285.14655,32.14,6.43,M-X,Red,
2460290.15139,-47.66,6.76,M-X,Red,
2460294.03632,-39.05,7.15,M-X,Red,
2460303.11772,75.69,7.17,M-X,Red,
2460307.06279,11.61,6.53,M-X,Red,
2460309.02281,-20.00,7.16,M-X,Red,
2460311.08706,-67.78,8.13,M-X,Red,
2460313.13905,-84.10,16.44,M-X,Red,
