2459073.581564,-11469.3,3.7,HARPS-N,0.158,0.001,24.3,13.764,
2459082.412035,-11513.4,5.6,HARPS-N,0.161,0.002,31.2,13.816,
2459098.371706,-11475.3,3.1,HARPS-N,0.160,0.001,16.8,13.780,
2459102.360849,-11460.2,3.6,HARPS-N,0.159,0.001,16.0,13.733,
2459114.404597,-11481.9,30.5,HARPS-N,cdots,cdots,74.8,13.744,
2459117.430022,-11482.9,4.1,HARPS-N,0.164,0.002,27.0,13.806,
2459119.408423,-11490.8,3.5,HARPS-N,0.158,0.001,26.2,13.743,
2459122.336070,-11498.2,2.9,HARPS-N,0.160,0.001,6.9,13.758,
2458994.555398,0.0,9.2,FIES,cdots,cdots,10.2,18.393,
2458995.551629,-21.7,13.0,FIES,cdots,cdots,41.2,18.509,
2459018.504159,-5.7,18.6,FIES,cdots,cdots,32.4,18.365,
2459019.496162,3.7,12.8,FIES,cdots,cdots,22.7,18.411,
2459020.497833,13.9,12.7,FIES,cdots,cdots,7.4,18.458,
2459098.364441,-12.7,13.8,FIES,cdots,cdots,16.8,18.394,
2459099.369294,1.9,13.6,FIES,cdots,cdots,24.0,18.442,
2458950.979568,-3502.7,19.3,Tull Coude,0.20,0.03,cdots,cdots,
2458951.909478,-3510.9,19.5,Tull Coude,0.21,0.03,cdots,cdots,
2458957.843670,-3527.2,14.6,Tull Coude,0.21,0.03,cdots,cdots,
2458958.958375,-3531.9,18.2,Tull Coude,0.19,0.03,cdots,cdots,
2458982.835596,-3432.2,08.5,Tull Coude,0.20,0.03,cdots,cdots,
2458983.927587,-3478.8,17.5,Tull Coude,0.19,0.03,cdots,cdots,
2458994.813377,-3524.2,16.1,Tull Coude,0.19,0.02,cdots,cdots,
2459047.698935,-3524.8,21.3,Tull Coude,0.20,0.03,cdots,cdots,
2459054.754109,-3493.7,15.1,Tull Coude,0.19,0.03,cdots,cdots,
2459054.873732,-3494.0,26.4,Tull Coude,0.19,0.03,cdots,cdots,
2459055.802778,-3510.8,19.5,Tull Coude,0.19,0.02,cdots,cdots,
2459072.664836,-3512.6,16.9,Tull Coude,0.19,0.02,cdots,cdots,
2459073.701460,-3530.7,16.8,Tull Coude,0.19,0.02,cdots,cdots,
2459090.659723,-3548.9,21.0,Tull Coude,0.19,0.02,cdots,cdots,
2459091.655351,-3556.7,24.2,Tull Coude,0.20,0.02,cdots,cdots,
2459104.674112,-3429.9,18.2,Tull Coude,cdots,cdots,cdots,cdots,
2459115.597718,-3463.8,32.1,Tull Coude,0.20,0.03,cdots,cdots,
2459116.673732,-3534.0,21.7,Tull Coude,0.19,0.02,cdots,cdots,
2459134.594159,-3540.6,21.8,Tull Coude,0.18,0.02,cdots,cdots,
2459135.654423,-3535.4,33.8,Tull Coude,0.20,0.02,cdots,cdots,
2459143.603909,-3485.6,18.6,Tull Coude,0.20,0.02,cdots,cdots,
2459144.595144,-3481.6,17.1,Tull Coude,0.18,0.03,cdots,cdots,
2459145.600434,-3496.1,17.2,Tull Coude,0.19,0.02,cdots,cdots,
2459171.552605,-3528.1,18.6,Tull Coude,0.20,0.02,cdots,cdots,
2459228.014988,-3486.3,21.8,Tull Coude,0.20,0.03,cdots,cdots,
2459241.016167,-3536.2,18.8,Tull Coude,0.20,0.03,cdots,cdots,
2459242.012350,-3509.5,16.2,Tull Coude,0.19,0.02,cdots,cdots,
2459242.012350,-3509.5,16.2,Tull Coude,0.18,0.02,cdots,cdots,
2459270.939084,-3486.9,11.5,Tull Coude,0.19,0.02,cdots,cdots,
2459275.930375,-3455.1,13.6,Tull Coude,cdots,cdots,cdots,cdots,
2459276.929526,-3469.8,16.0,Tull Coude,0.18,0.02,cdots,cdots,
2459277.949543,-3484.9,19.6,Tull Coude,0.18,0.03,cdots,cdots,
2459281.939450,-3510.8,15.5,Tull Coude,0.18,0.02,cdots,cdots,
2459293.909641,-3570.9,14.4,Tull Coude,0.17,0.02,cdots,cdots,
2459294.893907,-3523.4,24.7,Tull Coude,0.18,0.02,cdots,cdots,
2459301.921161,-3434.4,15.1,Tull Coude,0.14,0.02,cdots,cdots,
2459302.952236,-3467.8,15.7,Tull Coude,0.18,0.02,cdots,cdots,
2459309.807855,-3535.6,19.0,Tull Coude,0.18,0.03,cdots,cdots,
2459339.846070,-3548.9,21.8,Tull Coude,0.18,0.03,cdots,cdots,
2459340.775733,-3539.7,14.8,Tull Coude,0.19,0.02,cdots,cdots,
2459355.848218,-3493.3,10.4,Tull Coude,0.20,0.03,cdots,cdots,
2459372.775403,-3554.6,18.7,Tull Coude,0.19,0.03,cdots,cdots,
2459383.791707,-3545.3,26.6,Tull Coude,0.18,0.02,cdots,cdots,
2459384.793846,-3491.9,17.4,Tull Coude,0.18,0.02,cdots,cdots,
2459385.835820,-3530.8,19.8,Tull Coude,cdots,cdots,cdots,cdots,
2459411.687127,-3548.1,16.6,Tull Coude,cdots,cdots,cdots,cdots,
2459412.744002,-3582.4,13.9,Tull Coude,cdots,cdots,cdots,cdots,
2459454.638202,-3584.9,12.5,Tull Coude,cdots,cdots,cdots,cdots,
2459456.737608,-3519.6,18.8,Tull Coude,cdots,cdots,cdots,cdots,
2459471.673405,-3476.9,17.6,Tull Coude,cdots,cdots,cdots,cdots,
