5005.57207,−0448.9,0010.7
5006.57091,−0223.1,0010.0
5007.57482,−0261.9,0010.5
5008.44948,−0474.2,0010.6
5010.44234,−0450.5,0010.7
5011.51233,−0249.9,0011.0
5013.59448,−0420.7,0011.4
5014.56301,−0160.4,0010.8
5015.57356,−0509.0,0010.7
5016.55442,−0219.7,0011.0
4217.1100396,143.631,1.077,TRES-2
4371.9002491,254.232,3.116,TRES-2
4372.9311291,2.779,2.795,TRES-2
4546.1409771,-64.939,2.520,TRES-2
4547.1466841,229.407,2.473,TRES-2
4983.9846636,17.241,2.584,TRES-2
4985.0348526,254.320,2.625,TRES-2
4987.0048106,251.586,3.169,TRES-2
4988.0036896,50.059,2.920,TRES-2
5016.0494816,9.550,2.803,TRES-2
5048.9169997,277.022,3.922,TRES-2
5843.7888365,38.251,2.947,TRES-2
6020.0515737,292.009,2.401,TRES-2
6176.8727078,-69.866,4.462,TRES-2
6179.8568339,62.727,2.992,TRES-2
6202.7376210,297.066,3.104,TRES-2
6207.7324690,291.424,2.962,TRES-2
6208.7271840,-39.943,2.956,TRES-2
