54768.63152,19.7967,0.0022
54768.73169,19.8696,0.0018
54769.62838,20.1047,0.0023
54770.62473,20.1231,0.0022
54770.76117,20.2255,0.0031
54771.60846,19.7737,0.0017
54771.71520,19.7446,0.0021
54772.63762,20.2588,0.0023
54772.73505,20.2071,0.0022
54773.62311,19.8540,0.0021
54773.73277,19.9582,0.0025
54359.614570,19.785,0.016,-0.023
54362.654785,19.942,0.015,0.033
54364.676219,19.753,0.021,0.026
54365.682733,20.203,0.013,0.015
54372.781658,19.750,0.013,-0.047
54374.817984,20.016,0.040,0.091
54376.714797,20.248,0.014,-0.024
54377.762440,19.747,0.013,-0.002
54379.627523,19.907,0.014,-0.060
54380.682557,19.830,0.010,-0.024
54387.644986,19.818,0.015,0.027
