# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Aug 19 13:32:34 2025
#
# User preference: *
#
# CONSTRAINT:  where (pl_refname like '%Bonomo%')
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN soltype:        Solution Type
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_refname:     Planetary Parameter Reference
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN st_refname:     Stellar Parameter Reference
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
# COLUMN sy_refname:     System Parameter Reference
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_vmagerr1:    V (Johnson) Magnitude Upper Unc
# COLUMN sy_vmagerr2:    V (Johnson) Magnitude Lower Unc
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_kmagerr1:    Ks (2MASS) Magnitude Upper Unc
# COLUMN sy_kmagerr2:    Ks (2MASS) Magnitude Lower Unc
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN sy_gaiamagerr1: Gaia Magnitude Upper Unc
# COLUMN sy_gaiamagerr2: Gaia Magnitude Lower Unc
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_pubdate:     Planetary Parameter Reference Publication Date
# COLUMN releasedate:    Release Date
#
pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
HAT-P-17 b,HAT-P-17,0,1,2,Transit,2010,HATNet,Published Confirmed,0,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,10.33852300000,0.00000900000,-0.00000900000,0,0.0882000000,0.0013000000,-0.0014000000,0,11.32109000,0.32506100,-0.32506100,0,1.01000000,0.02900000,-0.02900000,0,170.67471000,5.40311000,-5.40311000,0,0.53700000,0.01700000,-0.01700000,0,Mass,0.341700,0.003600,-0.003600,0,,,,,,,,,0,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,,5246.00,80.00,-80.00,0,0.837000,0.021000,-0.021000,0,0.857000,0.039000,-0.039000,0,0.0000,0.0800,-0.0800,0,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,21h38m08.63s,324.5359781,+30d29m17.48s,30.4881882,92.38310000,0.48510000,-0.48020000,10.3750000,0.0050000,-0.0050000,8.5440000,0.0250000,-0.0250000,10.2743000,0.0003060,-0.0003060,2019-03-18,2017-06,2019-03-21
HAT-P-17 c,HAT-P-17,0,1,2,Radial Velocity,2010,W. M. Keck Observatory,Published Confirmed,0,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,3972.00000000000,185.00000000000,-146.00000000000,0,4.6700000000,0.1400000000,-0.1400000000,0,,,,,,,,,915.35040000,31.78300000,-31.78300000,0,2.88000000,0.10000000,-0.10000000,0,Msini,0.295000,0.021000,-0.021000,0,,,,,,,,,0,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,,5246.00,80.00,-80.00,0,0.837000,0.021000,-0.021000,0,0.857000,0.039000,-0.039000,0,0.0000,0.0800,-0.0800,0,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,21h38m08.63s,324.5359781,+30d29m17.48s,30.4881882,92.38310000,0.48510000,-0.48020000,10.3750000,0.0050000,-0.0050000,8.5440000,0.0250000,-0.0250000,10.2743000,0.0003060,-0.0003060,2019-03-18,2017-06,2019-03-21
WASP-7 b,WASP-7,0,1,1,Transit,2008,SuperWASP,Published Confirmed,0,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,4.95464160000,0.00000350000,-0.00000350000,0,0.0618800000,0.0009800000,-0.0010000000,0,15.27786700,1.04243700,-1.04243700,0,1.36300000,0.09300000,-0.09300000,0,344.20989000,29.55819000,-27.96904000,0,1.08300000,0.09300000,-0.08800000,0,Mass,0.049000,,,1,,,,,,,,,0,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,,6400.00,100.00,-100.00,0,1.466000,0.094000,-0.094000,0,1.285000,0.063000,-0.063000,0,0.0000,0.1000,-0.1000,0,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h44m10.26s,311.0427558,-39d13m31.75s,-39.2254856,162.30300000,1.29600000,-1.27600000,9.5040000,0.0030000,-0.0030000,8.3960000,0.0230000,-0.0230000,9.3767100,0.0001910,-0.0001910,2019-03-18,2017-06,2019-03-21
WASP-5 b,WASP-5,0,1,1,Transit,2008,SuperWASP,Published Confirmed,0,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,1.62842953000,0.00000052000,-0.00000052000,0,0.0273900000,0.0003900000,-0.0003900000,0,13.17057500,0.62770400,-0.62770400,0,1.17500000,0.05600000,-0.05600000,0,505.34970000,16.84499000,-16.52716000,0,1.59000000,0.05300000,-0.05200000,0,Mass,0.012000,,,1,,,,,,,,,0,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,,5770.00,65.00,-65.00,0,1.088000,0.040000,-0.040000,0,1.033000,0.045000,-0.045000,0,0.0900,0.0900,-0.0900,0,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h57m23.77s,359.3490277,-41d16m37.99s,-41.2772202,309.13700000,3.41400000,-3.34100000,12.1470000,0.0460000,-0.0460000,10.5980000,0.0230000,-0.0230000,11.9960000,0.0003980,-0.0003980,2019-03-18,2017-06,2019-03-21
WASP-48 b,WASP-48,0,1,1,Transit,2011,SuperWASP,Published Confirmed,0,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,2.14363400000,0.00000300000,-0.00000300000,0,0.0344900000,0.0004700000,-0.0004900000,0,18.71903000,1.12090000,-1.12090000,0,1.67000000,0.10000000,-0.10000000,0,327.68273000,14.62018000,-14.30235000,0,1.03100000,0.04600000,-0.04500000,0,Mass,0.014000,,,1,,,,,,,,,0,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,,6000.00,150.00,-150.00,0,1.750000,0.090000,-0.090000,0,1.190000,0.050000,-0.050000,0,-0.1200,0.1200,-0.1200,0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h24m38.97s,291.1623865,+55d28m22.90s,55.4730273,454.14400000,4.46500000,-4.38100000,11.6470000,0.0190000,-0.0190000,10.3720000,0.0220000,-0.0220000,11.5230000,0.0003240,-0.0003240,2019-03-18,2017-06,2019-03-21
WASP-50 b,WASP-50,0,1,1,Transit,2011,SuperWASP,Published Confirmed,0,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,1.95509380000,0.00000130000,-0.00000130000,0,0.0294500000,0.0008400000,-0.0008700000,0,12.92397700,0.53803200,-0.53803200,0,1.15300000,0.04800000,-0.04800000,0,464.03180000,27.65121000,-27.65121000,0,1.46000000,0.08700000,-0.08700000,0,Mass,0.022000,,,1,,,,,,,,,0,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,,5400.00,100.00,-100.00,0,0.843000,0.031000,-0.031000,0,0.892000,0.080000,-0.074000,0,-0.1200,0.0800,-0.0800,0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h54m45.14s,43.6880738,-10d53m52.89s,-10.8980242,184.84800000,1.87900000,-1.84100000,11.4400000,0.0260000,-0.0260000,9.9690000,0.0210000,-0.0210000,11.5518000,0.0006710,-0.0006710,2019-07-08,2017-06,2019-03-21
WASP-4 b,WASP-4,0,1,1,Transit,2007,SuperWASP,Published Confirmed,0,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,1.33823162400,0.00000006800,-0.00000006800,0,0.0228700000,0.0000900000,-0.0000900000,0,14.90797000,1.79344000,-1.79344000,0,1.33000000,0.16000000,-0.16000000,0,371.86110000,4.76745000,-4.76745000,0,1.17000000,0.01500000,-0.01500000,0,Mass,0.003300,,,1,,,,,,,,,0,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,,5436.00,34.00,-34.00,0,0.920000,0.060000,-0.060000,0,0.890000,0.010000,-0.010000,0,-0.0500,0.0400,-0.0400,0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h34m15.10s,353.5629149,-42d03m42.41s,-42.0617794,267.20600000,3.77100000,-3.67000000,12.4830000,0.0410000,-0.0410000,10.7460000,0.0210000,-0.0210000,12.3162000,0.0002460,-0.0002460,2019-08-09,2017-06,2019-03-21
WASP-38 b,WASP-38,0,1,1,Transit,2010,SuperWASP,Published Confirmed,0,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,6.87181500000,0.00004500000,-0.00004500000,0,0.0758400000,0.0008000000,-0.0008200000,0,12.21781000,0.22418000,-0.22418000,0,1.09000000,0.02000000,-0.02000000,0,841.61384000,18.11631000,-18.43414000,0,2.64800000,0.05700000,-0.05800000,0,Mass,0.027800,0.003000,-0.002800,0,,,,,,,,,0,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,,6180.00,40.00,-60.00,0,1.350000,0.020000,-0.020000,0,1.230000,0.040000,-0.040000,0,-0.0200,0.0700,-0.0700,0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h15m50.33s,243.9597194,+10d01m56.68s,10.0324103,136.24000000,0.80700000,-0.79800000,9.3910000,0.0030000,-0.0030000,7.9980000,0.0400000,-0.0400000,9.2097400,0.0002320,-0.0002320,2019-03-18,2017-06,2019-03-21
WASP-34 b,WASP-34,0,1,1,Transit,2010,SuperWASP,Published Confirmed,0,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,4.31767820000,0.00000450000,-0.00000450000,0,0.0521000000,0.0012000000,-0.0012000000,0,13.67498000,1.23299000,-0.89672000,0,1.22000000,0.11000000,-0.08000000,0,185.29489000,9.53490000,-9.85273000,0,0.58300000,0.03000000,-0.03100000,0,Mass,0.025000,,,1,,,,,,,,,0,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,,5700.00,100.00,-100.00,0,0.930000,0.120000,-0.120000,0,1.010000,0.070000,-0.070000,0,-0.0200,0.1000,-0.1000,0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h01m35.85s,165.3993679,-23d51m39.40s,-23.8609457,132.09600000,0.85700000,-0.84600000,10.2850000,0.0090000,-0.0090000,8.7920000,0.0210000,-0.0210000,10.2046000,0.0002370,-0.0002370,2019-03-18,2017-06,2019-03-21
WASP-32 b,WASP-32,0,1,1,Transit,2010,SuperWASP,Published Confirmed,0,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,2.71865910000,0.00000240000,-0.00000240000,0,0.0390400000,0.0006200000,-0.0006100000,0,12.32990000,0.44836000,-0.44836000,0,1.10000000,0.04000000,-0.04000000,0,1109.22670000,38.13960000,-34.96130000,0,3.49000000,0.12000000,-0.11000000,0,Mass,0.004000,,,1,,,,,,,,,0,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,,6140.00,90.00,-100.00,0,1.090000,0.030000,-0.030000,0,1.070000,0.050000,-0.050000,0,-0.1300,0.1000,-0.1000,0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,00h15m50.81s,3.9617073,+01d12m01.84s,1.2005122,275.99400000,3.34400000,-3.26700000,11.2570000,0.0170000,-0.0170000,10.1610000,0.0230000,-0.0230000,11.4090000,0.0007500,-0.0007500,2019-03-18,2017-06,2019-03-21
