Internal index number,CPS identifier,[Fe/H],mass,,err_[Fe/H],logg,err_logg,Radius,err_R,,err_mass,GG?,Teff,err_Teff
0,10002,0.251,0.928,,0.058,4.449,0.03,0.949,0.021,,0.04,,5313.8,74.9
1,10008,0.024,0.897,,0.059,4.553,0.018,0.832,0.014,,0.028,,5315.9,80.8
2,100180,0.009,1.062,,0.06,4.361,0.032,1.125,0.026,,0.049,,5983.4,93.3
3,100623,-0.321,0.748,,0.059,4.576,0.022,0.734,0.012,,0.028,,5200.9,60.4
4,101259,-0.634,1.228,,0.061,3.178,0.059,4.724,0.115,,0.148,,5141.3,61.5
5,10145,0.004,0.921,,0.058,4.333,0.027,1.08,0.025,,0.036,,5641.2,77.6
6,101501,-0.009,0.923,,0.058,4.52,0.024,0.876,0.017,,0.033,,5503.6,72.8
7,102158,-0.356,0.848,,0.057,4.219,0.02,1.184,0.028,,0.016,,5848,50
8,103095,-1.146,0.628,,0.057,4.684,0.017,0.596,0.004,,0.02,,5263.3,43.3
9,103432,-0.086,0.922,,0.059,4.483,0.032,0.909,0.02,,0.044,,5651.2,78.7
10,103829,0.16,1.09,,0.059,4.17,0.032,1.424,0.034,,0.058,,5785,89.6
11,104067,0.087,0.818,,0.059,4.564,0.024,0.781,0.014,,0.03,,4939,63.8
12,104304,0.294,1.026,,0.06,4.434,0.031,1.019,0.022,,0.045,,5538.6,83.2
13,104556,-0.39,0.983,,0.06,3.28,0.049,3.764,0.088,,0.103,,4984.3,55.6
14,10476,0.004,0.842,,0.056,4.516,0.028,0.835,0.017,,0.033,,5215.3,70.7
15,104800,-0.623,0.788,,0.058,4.369,0.017,0.959,0.017,,0.016,,5939.1,56
16,105113,-0.12,1.054,,0.062,3.973,0.099,1.732,0.261,,0.085,,5827.6,98.7
17,105618,0.355,1.131,,0.055,4.268,0.03,1.295,0.032,,0.046,,5699.6,89.9
18,105631,0.203,0.975,,0.058,4.502,0.024,0.92,0.017,,0.038,,5420.8,72.3
19,106116,0.16,1.002,,0.06,4.342,0.032,1.115,0.026,,0.047,,5654.8,92.4
20,106156,0.219,0.975,,0.06,4.492,0.025,0.93,0.017,,0.041,,5417.3,76.7
21,10697,0.16,1.156,,0.06,3.958,0.022,1.863,0.045,,0.032,,5645.1,98.4
22,10700,-0.417,0.755,,0.058,4.508,0.013,0.799,0.01,,0.015,,5461.1,49.2
23,107148,0.296,1.105,,0.058,4.345,0.028,1.169,0.027,,0.043,,5752.9,86.2
24,10780,0.055,0.904,,0.056,4.547,0.02,0.842,0.013,,0.03,,5312.3,80.6
25,10790,0.375,1.02,,0.057,4.252,0.032,1.248,0.036,,0.04,,5474,89.1
26,108874,0.221,0.996,,0.061,4.359,0.032,1.091,0.026,,0.046,,5570,90.9
27,109358,-0.199,0.904,,0.059,4.3,0.029,1.11,0.026,,0.038,,5846,85.8
28,11020,-0.155,0.793,,0.053,4.497,0.015,0.829,0.014,,0.018,,5296.3,60.2
29,110537,0.105,0.996,,0.06,4.266,0.031,1.214,0.029,,0.044,,5694.6,92.4
30,110897,-0.46,0.823,,0.059,4.325,0.021,1.03,0.021,,0.021,,5898.4,62.9
31,111031,0.272,1.099,,0.06,4.281,0.029,1.253,0.03,,0.045,,5736.6,91.8
32,111395,0.119,1.005,,0.058,4.486,0.023,0.95,0.019,,0.037,,5615.1,72.2
33,111484a,0.084,1.193,,0.059,4.35,0.025,1.205,0.024,,0.04,,6196.3,81
34,111484b,0.118,1.202,,0.061,4.357,0.021,1.201,0.026,,0.036,,6179.9,68.8
35,111515,-0.474,0.762,,0.058,4.494,0.016,0.816,0.012,,0.018,,5563.9,53.1
36,112257,-0.011,0.926,,0.058,4.265,0.025,1.172,0.027,,0.032,,5666.4,73.1
37,112914,-0.254,0.709,,0.056,4.619,0.018,0.684,0.012,,0.025,,4876.5,70
38,114174,0.061,0.968,,0.06,4.32,0.031,1.125,0.027,,0.044,,5694.1,90.3
39,114613,0.178,1.247,,0.062,3.882,0.019,2.114,0.053,,0.028,,5633.5,96
40,114729,-0.272,0.955,,0.062,3.98,0.023,1.651,0.039,,0.029,,5755.8,98.6
41,114762,-0.603,0.827,,0.058,4.155,0.023,1.257,0.031,,0.018,,6004.6,64.3
42,114783,0.151,0.867,,0.058,4.526,0.027,0.841,0.017,,0.036,,5126.7,68.3
43,114946,-0.226,1.467,,0.06,3.303,0.043,4.466,0.108,,0.125,,5047.9,60
44,115404a,-0.113,0.781,,0.056,4.591,0.021,0.74,0.013,,0.029,,4994.4,68.3
45,115589,0.247,0.919,,0.059,4.461,0.029,0.932,0.02,,0.039,,5282.6,73.5
46,115617,0.028,0.914,,0.06,4.369,0.028,1.033,0.023,,0.037,,5585.6,78.9
47,116321,0.29,1.639,,0.06,3.953,0.021,2.229,0.05,,0.035,,6380.1,98.5
48,116442,-0.31,0.759,,0.059,4.546,0.02,0.765,0.011,,0.026,,5297,58.3
49,116443,-0.289,0.742,,0.058,4.577,0.019,0.731,0.011,,0.025,,5145,58
50,116956,0.172,0.956,,0.059,4.536,0.016,0.875,0.014,,0.027,,5348.3,59.6
51,117176,-0.04,1.061,,0.061,3.893,0.021,1.922,0.048,,0.029,,5481.9 1,0.7
52,117207,0.225,1.024,,0.061,4.342,0.032,1.128,0.027,,0.047,,5634.8,95.6
53,117936,0.088,0.786,,0.058,4.584,0.02,0.749,0.013,,0.026,,4780.9,62.1
54,118914,0.159,1.019,,0.06,4.322,0.031,1.151,0.027,,0.047,,5699.8,95
55,11964a,0.138,1.151,,0.06,3.873,0.02,2.048,0.053,,0.033,,5345.6 1,0.5
56,120066,0.101,1.1,,0.063,4.096,0.034,1.555,0.037,,0.066,,5833.8,99.9
57,120136,0.272,1.403,,0.057,4.264,0.02,1.44,0.031,,0.034,,6461.3,81.2
58,12051,0.23,0.967,,0.06,4.407,0.033,1.017,0.023,,0.046,,5472,86.1
59,122652,0.019,1.135,,0.06,4.348,0.03,1.175,0.029,,0.047,,6155.4,88.4
60,124106,-0.068,0.812,,0.058,4.568,0.023,0.775,0.014,,0.03,,5091.8,73.5
61,124292,-0.047,0.876,,0.057,4.465,0.032,0.905,0.02,,0.041,,5486.8,83.6
62,125184,0.308,1.176,,0.06,4.083,0.036,1.646,0.039,,0.073,,5712,87.4
63,125455,-0.088,0.806,,0.056,4.549,0.026,0.788,0.015,,0.033,,5155.5,73.3
64,126053,-0.282,0.84,,0.061,4.402,0.026,0.952,0.02,,0.032,,5737.2,72.8
65,12661,0.338,1.085,,0.059,4.316,0.029,1.198,0.027,,0.044,,5661.2,94.1
66,126614,0.408,1.021,,0.046,4.174,0.026,1.37,0.031,,0.033,,5409.8,84.5
67,127334,0.229,1.049,,0.061,4.275,0.031,1.236,0.029,,0.047,,5676.8,95.2
68,128165,0.015,0.773,,0.057,4.576,0.02,0.748,0.013,,0.026,,4840.1,63.2
69,128311,0.134,0.837,,0.059,4.574,0.02,0.783,0.013,,0.029,,4931.9,66
70,12846,-0.195,0.868,,0.058,4.402,0.03,0.967,0.021,,0.038,,5713.6,80.3
71,129010,0.111,1.368,,0.058,3.972,0.033,1.988,0.046,,0.081,,6056.9,81.6
72,129814,-0.014,0.973,,0.06,4.244,0.03,1.231,0.029,,0.043,,5778.8,93.7
73,130004,-0.208,0.747,,0.053,4.601,0.02,0.714,0.013,,0.027,,4986.5,64.9
74,130307,-0.131,0.778,,0.057,4.592,0.021,0.739,0.013,,0.029,,5014.2,66.1
75,130322,0.086,0.933,,0.058,4.526,0.024,0.872,0.017,,0.032,,5400.5,66.8
76,13043,0.092,1.092,,0.058,4.167,0.031,1.429,0.033,,0.056,,5869.7,87.4
77,130871,-0.148,0.738,,0.051,4.598,0.019,0.712,0.012,,0.025,,4885.9,65.1
78,130992,-0.03,0.756,,0.058,4.593,0.019,0.727,0.013,,0.026,,4796.4,65
79,131117,0.159,1.32,,0.058,4.023,0.033,1.842,0.043,,0.077,,5972.8,81.6
80,131156,-0.08,0.893,,0.062,4.539,0.036,0.841,0.037,,0.035,,5479.5,93.5
81,131509,-0.089,1.185,,0.06,3.634,0.041,2.738,0.068,,0.086,,5049.8,81
82,132142,-0.294,0.758,,0.06,4.526,0.013,0.784,0.011,,0.017,,5316.6,55.4
83,132505,0.319,1.274,,0.061,4.196,0.024,1.485,0.038,,0.034,,5972.9 1,5.1
84,134439,0.54,0.54,,0.05,4.571,0.01,0.63,0.05,,0.05,M star,0,0
85,134440,0.54,0.62,,0.05,4.659,0.01,0.61,0.05,,0.05,,0,0
86,134987,0.282,1.093,,0.061,4.252,0.029,1.292,0.031,,0.047,,5700.8,87.5
87,135101a,0.078,1.013,,0.062,4.09,0.026,1.499,0.036,,0.037,,5637.8,97.8
88,13612b,0.107,0.986,,0.059,4.39,0.034,1.048,0.024,,0.05,,5665.5,91.8
89,136352,-0.254,0.846,,0.058,4.358,0.023,1.006,0.022,,0.026,,5746.5,65
90,136442,0.334,1.223,,0.06,3.551,0.051,3.078,0.07,,0.127,,4749.9,68.7
91,136713,0.222,0.851,,0.06,4.551,0.024,0.81,0.014,,0.031,,4944.2,64.7
