,pl_name,hostname,pl_type,sy_snum,sy_pnum,companion_type,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,st_mass,st_met,discoverymethod
0,55 Cnc b,55Cnc,WJ,2,5,2.0,14.6516,0.1134,,,255.4,0.8036,0.0,0.01,-0.01,0.905,0.35,Radial Velocity
1,55 Cnc c,55Cnc,CS,2,5,22.0,44.3989,0.2373,,,51.2,0.1611,0.03,0.02,-0.02,0.905,0.35,Radial Velocity
2,55 Cnc d,55Cnc,CJ,2,5,550.0,5574.2,5.957,,,991.6,3.12,0.13,0.02,-0.02,0.905,0.35,Radial Velocity
3,55 Cnc e,55Cnc,SE,2,5,1.0,0.7365474,0.01544,1.875,0.1672763,7.99,0.02513923,0.05,0.03,-0.03,0.905,0.35,Radial Velocity
4,55 Cnc f,55Cnc,CS,2,5,110.0,259.88,0.7708,,,47.8,0.1503,0.08,0.05,-0.04,0.905,0.35,Radial Velocity
5,ups And b,upsAnd,HJ,2,3,1.0,4.617033,0.05922166,,,218.531,0.6876,0.0215,0.0007,-0.0007,1.3,0.121519701565,Radial Velocity
6,ups And c,upsAnd,WJ,2,3,7.0,241.258,0.827774,,,629.595,1.981,0.2596,0.0079,-0.0079,1.3,0.121519701565,Radial Velocity
7,ups And d,upsAnd,CJ,2,3,77.0,1276.46,2.51329,,,1313.22,4.132,0.2987,0.0072,-0.0072,1.3,0.121519701565,Radial Velocity
8,gam Lib b,gamLib,CJ,1,2,1.0,414.88,1.319,,,357.87478628,1.126,0.16,0.071,-0.107,1.78,-0.27,Radial Velocity
9,gam Lib c,gamLib,CJ,1,2,13.0,966.49,2.318,,,1662.56039702,5.231,0.065,0.033,-0.022,1.78,-0.27,Radial Velocity
10,WASP-53 b,WASP53,HJ,1,2,1.0,3.3098443,0.04101,12.038466,1.074,677.61356,2.132,0.03,0.1,-0.1,0.839,0.22,Transit
11,WASP-53 c,WASP53,CJ,1,2,7.0,2840.0,3.73,,,5196.5205,16.35,0.8369,0.0069,-0.007,0.839,0.22,Radial Velocity
12,WASP-47 b,WASP47,HJ,1,4,2.0,4.159151,0.05159842415262309,12.86,1.14729433,374.0,1.1767356,0.0006,0.0005,-0.0002,1.058,0.38,Transit
13,WASP-47 c,WASP47,CJ,1,4,28.0,589.57,1.402782148863042,,,447.0,1.40641928,0.264,0.007,-0.012,1.058,0.38,Radial Velocity
14,WASP-47 d,WASP47,SE,1,4,14.0,9.030501,0.08651827986100391,3.65,0.32563175,15.5,0.04876845,0.001,0.0008,-0.0007,1.058,0.38,Transit
15,WASP-47 e,WASP47,SE,1,4,1.0,0.78961,0.017044139214250836,1.83,0.16326195,9.0,0.02831717,0.0,0.1,-0.1,1.058,0.38,Transit
16,TYC 1422-614-1 b,TYC14226141,WJ,1,2,1.0,198.4,0.69,,,794.5,2.5,0.06,0.06,-0.02,1.15,-0.2,Radial Velocity
17,TYC 1422-614-1 c,TYC14226141,CJ,1,2,11.0,559.3,1.37,,,3178.0,10.0,0.048,0.02,-0.014,1.15,-0.2,Radial Velocity
