,pl_name,hostname,sy_snum,sy_pnum,pl_type,pl_orbper,pl_orbsmax,pl_bmasse,pl_bmassj,pl_orbeccen,st_spectype,st_teff,st_rad,st_mass,st_met,se_companion,ss_companion,gg_companion
0,ups And b,ups And,2,3,HJ,4.617033,0.059222,218.531,0.6876,0.0215,F8 V,,1.56,1.3,,0,0,0
1,ups And c,ups And,2,3,WJ,241.258,0.827774,629.595,1.981,0.2596,F8 V,,1.56,1.3,,0,0,1
2,ups And d,ups And,2,3,CJ,1276.46,2.51329,1313.22,4.132,0.2987,F8 V,,1.56,1.3,,0,0,1
3,gam Lib b,gam Lib,1,2,CJ,414.88,1.319,357.87479,1.126,0.16,K0 III,4879.0,12.38,1.78,-0.27,0,0,0
4,gam Lib c,gam Lib,1,2,CJ,966.49,2.318,1662.5604,5.231,0.065,K0 III,4879.0,12.38,1.78,-0.27,0,0,1
5,bet Pic b,bet Pic,1,2,CJ,8617.50952,10.018,3727.80939,11.729,0.106,,,,1.79,,0,0,1
6,bet Pic c,bet Pic,1,2,CJ,1192.77951,2.68,3222.46222,10.139,0.314,,,,1.79,,0,0,0
7,XO-2 S b,XO-2 S,2,3,CS,18.157,0.13,82.6358,0.26,0.18,,5399.0,1.0,0.98,0.39,0,0,0
8,XO-2 S c,XO-2 S,2,3,WJ,120.8,0.4756,435.409,1.37,0.1528,,5399.0,1.02,0.98,0.39,0,1,0
9,WASP-8 b,WASP-8,2,2,CJ,8.15872,13.89362234982868,807.2882,2.54,0.31,,5600.0,1.03,1.34,0.17,0,0,1
10,WASP-8 c,WASP-8,2,2,CJ,4323.0,5.28,3003.37,9.45,0.0,,,,1.04,0.17,0,0,0
11,WASP-53 b,WASP-53,1,2,HJ,3.3098443,0.04101,677.61356,2.132,0.03,,4953.0,0.8,0.84,0.22,0,0,0
12,WASP-53 c,WASP-53,1,2,CJ,2840.0,3.73,5196.5205,16.35,0.8369,,4953.0,0.8,0.84,0.22,0,0,1
13,WASP-47 b,WASP-47,1,4,CJ,4.159151,20.135422158636118,374.0,1.17674,0.0006,,,1.16,1.06,,0,0,0
14,WASP-47 c,WASP-47,1,4,WJ,589.57,0.7406396309473344,447.0,1.40642,0.264,,,1.16,1.06,,0,0,0
15,WASP-47 d,WASP-47,1,4,SE,9.030501,12.008514902313923,15.5,0.04877,0.001,,,1.16,1.06,,0,0,0
16,WASP-47 e,WASP-47,1,4,SE,0.78961,60.95679224238833,9.0,0.02832,0.0,,,1.16,1.06,,0,0,0
17,WASP-41 b,WASP-41,1,2,CJ,3.0524,22.625383679697677,270.1555,0.85,0.0,,5545.0,0.83,0.81,0.06,0,0,1
18,WASP-41 c,WASP-41,1,2,CJ,421.0,1.07,1010.6994,3.18,0.294,,5545.0,0.87,0.93,0.06,0,0,0
19,V1298 Tau b,V1298 Tau,3,4,CJ,24.1396,0.1688,,,0.29,,,1.34,1.1,,0,0,0
20,V1298 Tau c,V1298 Tau,3,4,CJ,8.24958,0.0825,,,0.43,,,1.34,1.1,,0,0,0
21,V1298 Tau d,V1298 Tau,3,4,CJ,12.4032,0.1083,,,0.21,,,1.34,1.1,,0,0,0
22,V1298 Tau e,V1298 Tau,3,4,CJ,53.5,3.885225555228358,321.00669,1.01,,,4941.0,1.43,1.26,,0,0,1
23,TYC 1422-614-1 b,TYC 1422-614-1,1,2,WJ,198.4,0.69,794.5,2.5,0.06,,4806.0,6.85,1.15,-0.2,0,0,0
24,TYC 1422-614-1 c,TYC 1422-614-1,1,2,CJ,559.3,1.37,3178.0,10.0,0.048,,4806.0,6.85,1.15,-0.2,0,0,1
25,TOI-969 b,TOI-969,1,2,SE,1.8237305,0.02636,9.1,0.02863,,K V,4435.0,0.67,0.73,0.175,0,0,0
26,TOI-969 c,TOI-969,1,2,CJ,1700.0,2.52,3591.461,11.3,0.628,K V,4435.0,0.67,0.73,0.175,1,0,0
27,TOI-4010 b,TOI-4010,1,4,SE,1.348335,0.0229,11.0,0.03461,0.03,K V,4960.0,0.83,0.88,0.37,0,0,0
28,TOI-4010 c,TOI-4010,1,4,HS,5.414654,0.058,20.31,0.0639,0.03,K V,4960.0,0.83,0.88,0.37,0,0,0
29,TOI-4010 d,TOI-4010,1,4,CS,14.70886,0.113,38.15,0.12003,0.07,K V,4960.0,0.83,0.88,0.37,0,0,0
30,TOI-4010 e,TOI-4010,1,4,CJ,762.0,1.57,692.0,2.17728,0.26,K V,4960.0,0.83,0.88,0.37,1,1,0
31,TOI-2202 b,TOI-2202,1,2,HJ,11.9101,0.09564,310.83618,0.978,0.042,K8 V,5144.0,0.79,0.82,0.04,0,0,0
32,TOI-2202 c,TOI-2202,1,2,CS,24.6744,0.15544,117.27868,0.369,0.0622,K8 V,5144.0,0.79,0.82,0.04,0,0,0
33,TOI-1736 b,TOI-1736,1,2,SE,7.073076,0.073,12.3,0.0387,0.0,,5636.0,1.43,1.04,0.148,0,0,0
34,TOI-1736 c,TOI-1736,1,2,CJ,571.25,1.37,2441.0,7.68024,0.3685,,5636.0,1.43,1.04,0.148,1,0,0
35,TOI-1694 b,TOI-1694,1,2,HS,3.770107,0.045,31.3,0.09848,0.0,,5058.0,0.8,0.85,0.131,0,0,0
36,TOI-1694 c,TOI-1694,1,2,WJ,393.1,0.1,297.0,0.93447,0.0,,5058.0,0.8,0.85,0.131,0,1,0
37,TOI-1669 b,TOI-1669,1,2,CJ,500.0,1.27,191.0,0.60095,0.0,,5497.0,1.06,0.99,0.274,1,0,0
38,TOI-1669 c,TOI-1669,1,2,SE,2.6800535,0.0376,13.0,0.0409,0.0,,5497.0,1.06,0.99,0.274,0,0,0
39,TOI-1670 b,TOI-1670,1,2,CS,10.98462,0.103,41.31769,0.13,0.59,F7 V,6170.0,1.32,1.21,0.09,0,0,0
40,TOI-1670 c,TOI-1670,1,2,WJ,40.74976,0.249,200.2319,0.63,0.09,F7 V,6170.0,1.32,1.21,0.09,0,1,0
