,pl_name,hostname,pl_type,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,st_spectype,st_teff,st_rad,st_mass,st_met,companion_type,pl_sus_data
0,upsAnd b,upsAnd,HJ,2,3,4.617033,0.059222,,,218.531,0.6876,0.0215,0.0007,-0.0007,F8 V,,1.56,1.3,0.121519701565,1.0,0.0
1,upsAnd c,upsAnd,WJ,2,3,241.258,0.827774,,,629.595,1.981,0.2596,0.0079,-0.0079,F8 V,,1.56,1.3,0.121519701565,7.0,0.0
2,upsAnd d,upsAnd,CJ,2,3,1276.46,2.51329,,,1313.22,4.132,0.2987,0.0072,-0.0072,F8 V,,1.56,1.3,0.121519701565,77.0,0.0
3,gamLib b,gamLib,CJ,1,2,414.88,1.319,,,357.87479,1.126,0.16,0.071,-0.107,K0 III,4879.0,12.38,1.78,-0.27,1.0,0.0
4,gamLib c,gamLib,CJ,1,2,966.49,2.318,,,1662.5604,5.231,0.065,0.033,-0.022,K0 III,4879.0,12.38,1.78,-0.27,13.0,0.0
7,XO2S b,XO2S,CS,2,3,18.157,0.13,,,82.6358,0.26,0.18,0.04,-0.04,,5399.0,1.0,0.98,0.39,1.0,0.0
8,XO2S c,XO2S,WJ,2,3,120.8,0.4756,,,435.409,1.37,0.1528,0.0094,-0.0098,,5399.0,1.02,0.98,0.39,5.0,0.0
9,WASP8 b,WASP8,HJ,2,2,8.15872,0.08748247117495504,12.666,1.13,807.2882,2.54,0.31,0.0,0.0,,5600.0,1.03,1.34,0.17,1.0,0.0
10,WASP8 c,WASP8,CJ,2,2,4323.0,5.28,,,3003.37,9.45,0.0,0.0,0.0,,,,1.04,0.17,7.0,0.0
11,WASP53 b,WASP53,HJ,1,2,3.3098443,0.04101,12.038,1.074,677.61356,2.132,0.03,0.1,-0.1,,4953.0,0.8,0.84,0.22,1.0,1.0
12,WASP53 c,WASP53,CJ,1,2,2840.0,3.73,,,5196.5205,16.35,0.8369,0.0069,-0.007,,4953.0,0.8,0.84,0.22,7.0,0.0
13,WASP47 b,WASP47,HJ,1,4,4.159151,0.05163091687163397,12.86,1.147,374.0,1.17674,0.0006,0.0005,-0.0002,,,1.16,1.06,0.38,2.0,0.0
14,WASP47 c,WASP47,CJ,1,4,589.57,1.4036655131700926,,,447.0,1.40642,0.264,0.007,-0.012,,,1.16,1.06,0.38,28.0,0.0
15,WASP47 d,WASP47,SE,1,4,9.030501,0.08657276241939586,3.65,0.326,15.5,0.04877,0.001,0.0008,-0.0007,,,1.16,1.06,0.38,1.0,0.0
16,WASP47 e,WASP47,SE,1,4,0.78961,0.017054872302234934,1.83,0.163,9.0,0.02832,0.0,0.1,-0.1,,,1.16,1.06,0.38,1.0,1.0
17,WASP41 b,WASP41,HJ,1,2,3.0524,0.03840555627460094,12.33,1.1,270.1555,0.85,0.0,0.1,-0.1,,5545.0,0.83,0.81,0.06,1.0,1.0
18,WASP41 c,WASP41,CJ,1,2,421.0,1.07,,,1010.6994,3.18,0.294,0.024,-0.024,,5545.0,0.87,0.93,0.06,7.0,0.0
23,TYC14226141 b,TYC14226141,WJ,1,2,198.4,0.69,,,794.5,2.5,0.06,0.06,-0.02,,4806.0,6.85,1.15,-0.2,1.0,0.0
24,TYC14226141 c,TYC14226141,CJ,1,2,559.3,1.37,,,3178.0,10.0,0.048,0.02,-0.014,,4806.0,6.85,1.15,-0.2,11.0,0.0
25,TOI969 b,TOI969,SE,1,2,1.8237305,0.02636,2.765,0.247,9.1,0.02863,,0.1,-0.1,K V,4435.0,0.67,0.73,0.175,1.0,0.0
26,TOI969 c,TOI969,CJ,1,2,1700.0,2.52,,,3591.461,11.3,0.628,0.043,-0.036,K V,4435.0,0.67,0.73,0.175,2.0,0.0
27,TOI4010 b,TOI4010,SE,1,4,1.348335,0.0229,3.02,0.269,11.0,0.03461,0.03,0.03,-0.02,K V,4960.0,0.83,0.88,0.37,1.0,0.0
28,TOI4010 c,TOI4010,HS,1,4,5.414654,0.058,5.93,0.529,20.31,0.0639,0.03,0.03,-0.02,K V,4960.0,0.83,0.88,0.37,1.0,0.0
29,TOI4010 d,TOI4010,CS,1,4,14.70886,0.113,6.18,0.551,38.15,0.12003,0.07,0.03,-0.03,K V,4960.0,0.83,0.88,0.37,1.0,0.0
30,TOI4010 e,TOI4010,CJ,1,4,762.0,1.57,,,692.0,2.17728,0.26,0.04,-0.04,K V,4960.0,0.83,0.88,0.37,30.0,0.0
31,TOI2202 b,TOI2202,HJ,1,2,11.9101,0.09564,11.321,1.01,310.83618,0.978,0.042,0.0255,-0.0075,K8 V,5144.0,0.79,0.82,0.04,1.0,0.0
32,TOI2202 c,TOI2202,CS,1,2,24.6744,0.15544,,,117.27868,0.369,0.0622,0.0452,-0.0211,K8 V,5144.0,0.79,0.82,0.04,1.0,0.0
33,TOI1736 b,TOI1736,SE,1,2,7.073076,0.073,3.182,0.284,12.3,0.0387,0.0,0.1,-0.1,,5636.0,1.43,1.04,0.148,1.0,1.0
34,TOI1736 c,TOI1736,CJ,1,2,571.25,1.37,,,2441.0,7.68024,0.3685,0.0021,-0.0021,,5636.0,1.43,1.04,0.148,2.0,0.0
39,TOI1670 b,TOI1670,CS,1,2,10.98462,0.103,2.06,0.184,41.31769,0.13,0.59,0.17,-0.26,F7 V,6170.0,1.32,1.21,0.09,1.0,1.0
40,TOI1670 c,TOI1670,WJ,1,2,40.74976,0.249,11.063,0.987,200.2319,0.63,0.09,0.05,-0.04,F7 V,6170.0,1.32,1.21,0.09,5.0,0.0
41,TOI1130 b,TOI1130,SE,1,2,4.074554,0.0453,3.66,0.327,19.8,0.0623,0.052162,0.000956,-2e-06,,4360.0,0.7,0.74,0.11,1.0,0.0
42,TOI1130 c,TOI1130,HJ,1,2,8.3501898,0.0731,13.0,1.16,336.0,1.05717,0.0398,0.0009,-0.0002,,4360.0,0.7,0.74,0.11,2.0,0.0
43,TIC279401253 b,TIC279401253,WJ,1,2,76.8,0.369,11.209,1.0,1951.46642,6.14,0.448,0.029,-0.028,,5951.0,1.06,1.13,0.2,1.0,0.0
44,TIC279401253 c,TIC279401253,WJ,1,2,155.3,0.591,,,2548.98382,8.02,0.254,0.042,-0.036,,5951.0,1.06,1.13,0.2,11.0,0.0
45,TIC139270665 b,TIC139270665,CS,1,2,23.624,0.163,7.23,0.645,147.15455,0.463,0.105,0.053,-0.05,G2,5844.0,1.02,1.03,0.156,1.0,0.0
46,TIC139270665 c,TIC139270665,CJ,1,2,1010.0,2.0,,,1554.18091,4.89,0.566,0.12,-0.069,G2,5844.0,1.02,1.03,0.156,5.0,0.0
47,Pr0211 b,Pr0211,HJ,2,2,2.1461,0.03176,,,597.5204,1.88,0.011,0.012,-0.008,,5300.0,0.83,0.94,0.18,1.0,0.0
48,Pr0211 c,Pr0211,CJ,2,2,4850.0,5.5,,,2475.8957,7.79,0.71,0.11,-0.11,,5300.0,0.83,0.94,0.18,7.0,0.0
49,Kepler93 b,Kepler93,SE,1,2,4.72673978,0.05343,1.478,0.132,4.66,0.01466,0.0,0.1,-0.1,,5669.0,0.92,0.91,-0.18,1.0,1.0
50,Kepler93 c,Kepler93,CJ,1,2,1460.0,2.441858299493588,,,954.0,3.0,,0.1,-0.1,,5669.0,0.92,0.91,-0.18,2.0,0.0
51,Kepler94 b,Kepler94,SE,1,2,2.50806,0.033691864434506856,3.51,0.313,10.84,0.034,,0.1,-0.1,,4781.0,0.76,0.81,0.34,1.0,0.0
52,Kepler94 c,Kepler94,CJ,1,2,820.3,1.5993673932525228,,,3126.0,9.836,,0.1,-0.1,,4781.0,0.76,0.81,0.34,2.0,0.0
53,Kepler68 b,Kepler68,SE,2,4,5.39875259,0.06135,2.357,0.21,8.03,0.02527,0.09,0.1,-0.1,,5847.0,1.26,1.06,0.11,1.0,1.0
54,Kepler68 c,Kepler68,SE,2,4,9.605027,0.09008,0.979,0.087,1.3,0.00409,0.099,0.1,-0.1,,5847.0,1.26,1.06,0.11,1.0,1.0
