,pl_name,hostname,pl_type,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,st_spectype,st_teff,st_rad,st_mass,st_met,companion_type,pl_sus_data,discoverymethod,pl_refname
0,HAT-P-63 b,HAT-P-63,HJ,1,1,3.377728,0.04294,12.5428494,1.119,195.1466419,0.614,0.069,0.1,-0.1,,5400.0,0.9661,0.925,0.251,1.0,1.0,Transit,<a refstr=BAKOS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162....7B/abstract target=ref>Bakos et al. 2021</a>
1,HAT-P-16 b,HAT-P-16,HJ,3,1,2.7759712,0.04134,14.448401,1.289,1341.56043,4.221,0.0462,0.0027,-0.0024,,6158.0,1.237,1.218,0.17,1.0,0.0,Transit,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>
2,HAT-P-1 b,HAT-P-1,HJ,2,1,4.46529976,0.0553,13.921578,1.242,166.86075,0.525,0.011,0.1,-0.1,,5980.0,1.135,1.133,0.13,1.0,1.0,Transit,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>
3,K2-222 b,K2-222,SE,1,1,15.38857,0.1206,2.35,0.20965332,8.7,0.02737326,0.16,0.1,-0.1,,5942.0,1.115,0.989,-0.315,1.0,1.0,Transit,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>
4,K2-19 b,K2-19,HS,1,3,7.9222,0.07456405461349132,7.0,0.62449925,32.4,0.1019418,0.2,0.03,-0.03,,5322.0,0.82,0.88,0.06,1.0,0.0,Transit,<a refstr=PETIGURA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159....2P/abstract target=ref>Petigura et al. 2020</a>
5,K2-19 c,K2-19,SE,1,3,11.8993,0.09779423573567751,4.1,0.36577813,10.8,0.0339806,0.21,0.03,-0.03,,5322.0,0.82,0.88,0.06,1.0,0.0,Transit,<a refstr=PETIGURA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159....2P/abstract target=ref>Petigura et al. 2020</a>
6,K2-19 d,K2-19,SE,1,3,2.5081,0.03463609162715442,1.11,0.09902774,10.0,0.03146352,,0.1,-0.1,,5322.0,0.82,0.88,0.06,1.0,0.0,Transit,<a refstr=PETIGURA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159....2P/abstract target=ref>Petigura et al. 2020</a>
7,gam Lib b,gam Lib,CJ,1,2,414.88,1.319,,,357.87478628,1.126,0.16,0.071,-0.107,K0 III,4879.0,12.38,1.78,-0.27,1.0,0.0,Radial Velocity,<a refstr=TENG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805343T/abstract target=ref>Teng et al. 2023</a>
8,gam Lib c,gam Lib,CJ,1,2,966.49,2.318,,,1662.56039702,5.231,0.065,0.033,-0.022,K0 III,4879.0,12.38,1.78,-0.27,13.0,0.0,Radial Velocity,<a refstr=TENG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805343T/abstract target=ref>Teng et al. 2023</a>
9,BD-06 1339 b,BD-06 1339,SE,1,2,3.8728,0.0428,,,8.5,0.027,0.0,0.1,-0.1,K7/M0 V,4324.0,,0.7,-0.14,1.0,1.0,Radial Velocity,<a refstr=LO_CURTO_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...551A..59L/abstract target=ref> Lo Curto et al. 2013 </a>
