pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
HAT-P-63 b,HAT-P-63,1,1,1,Transit,2021,HATNet,Published Confirmed,0,<a refstr=BAKOS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162....7B/abstract target=ref>Bakos et al. 2021</a>,3.37772800000,0.00001300000,-0.00001300000,0,0.0429400000,0.0003500000,-0.0003500000,0,12.54284940,0.36989636,-0.36989636,0,1.11900000,0.03300000,-0.03300000,0,195.14664190,7.62788177,-7.62788177,0,0.61400000,0.02400000,-0.02400000,0,Mass,0.069000,,,1,387.4000,13.4000,-13.4000,0,1237.00,11.00,-11.00,0,0,<a refstr=BAKOS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162....7B/abstract target=ref>Bakos et al. 2021</a>,,5400.00,55.00,-39.00,0,0.966100,0.011000,-0.008200,0,0.925000,0.023000,-0.023000,0,0.2510,0.0610,-0.0610,0,[Fe/H],4.435000,0.015000,-0.015000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,17h58m17.30s,269.5720695,+05d45m40.94s,5.7613709,403.45800000,3.98000000,-3.90400000,13.6570000,0.0920000,-0.0920000,11.5120000,0.0230000,-0.0230000,13.5106000,0.0002540,-0.0002540,2021-07-26,2021-07,2021-07-26
HAT-P-16 b,HAT-P-16,0,3,1,Transit,2010,HATNet,Published Confirmed,0,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,2.77597120000,0.00000150000,-0.00000150000,0,0.0413400000,0.0004400000,-0.0004500000,0,14.44840100,0.73979400,-0.73979400,0,1.28900000,0.06600000,-0.06600000,0,1341.56043000,29.24036000,-29.24036000,0,4.22100000,0.09200000,-0.09200000,0,Mass,0.046200,0.002700,-0.002400,0,,,,,,,,,0,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,,6158.00,80.00,-80.00,0,1.237000,0.054000,-0.054000,0,1.218000,0.039000,-0.039000,0,0.1700,0.0800,-0.0800,0,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,00h38m17.53s,9.5730343,+42d27m47.15s,42.4630961,226.63700000,4.47100000,-4.30500000,10.9110000,0.0080000,-0.0080000,9.5530010,0.0200000,-0.0200000,10.7568000,0.0002560,-0.0002560,2019-03-18,2017-06,2019-03-21
HAT-P-1 b,HAT-P-1,0,2,1,Transit,2006,HATNet,Published Confirmed,0,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,4.46529976000,0.00000055000,-0.00000055000,0,0.0553000000,0.0012000000,-0.0013000000,0,13.92157800,0.59407700,-0.59407700,0,1.24200000,0.05300000,-0.05300000,0,166.86075000,8.26358000,-8.26358000,0,0.52500000,0.02600000,-0.02600000,0,Mass,0.011000,,,1,,,,,,,,,0,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,,5980.00,120.00,-120.00,0,1.135000,0.048000,-0.048000,0,1.133000,0.075000,-0.079000,0,0.1300,0.0800,-0.0800,0,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h57m46.89s,344.4453632,+38d40m29.71s,38.6749190,158.97900000,0.97700000,-0.96500000,9.8270000,0.1940000,-0.1940000,8.8580000,0.0180000,-0.0180000,10.1786000,0.0003840,-0.0003840,2019-03-18,2017-06,2019-03-21
K2-222 b,K2-222,1,1,1,Transit,2018,K2,Published Confirmed,0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,15.38857000000,0.00088000000,-0.00088000000,0,0.1206000000,0.0029000000,-0.0029000000,0,2.35000000,0.08000000,-0.07000000,0,0.20965332,0.00713713,-0.00624499,0,8.70000000,1.70000000,-1.70000000,0,0.02737326,0.00534880,-0.00534880,0,Mass,0.160000,,,1,96.0000,11.0000,-9.7000,0,871.00,23.00,-23.00,0,0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,,5942.00,119.00,-119.00,0,1.115000,0.029000,-0.029000,0,0.989000,0.070000,-0.065000,0,-0.3150,0.0600,-0.0600,0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h05m51.00s,16.4625203,+11d45m13.38s,11.7537171,101.32100000,0.63200000,-0.62500000,9.5430000,0.0040000,-0.0040000,8.1050000,0.0170000,-0.0170000,9.3607200,0.0002920,-0.0002920,2023-04-17,2023-04,2023-04-17
K2-19 b,K2-19,1,1,3,Transit,2015,K2,Published Confirmed,0,<a refstr=PETIGURA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159....2P/abstract target=ref>Petigura et al. 2020</a>,7.92220000000,0.00010000000,-0.00010000000,0,,,,,7.00000000,0.20000000,-0.20000000,0,0.62449925,0.01784284,-0.01784284,0,32.40000000,1.70000000,-1.70000000,0,0.10194180,0.00534880,-0.00534880,0,Mass,0.200000,0.030000,-0.030000,0,,,,,,,,,1,<a refstr=PETIGURA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159....2P/abstract target=ref>Petigura et al. 2020</a>,,5322.00,100.00,-100.00,0,0.820000,0.030000,-0.030000,0,0.880000,0.030000,-0.030000,0,0.0600,0.0500,-0.0500,0,[Fe/H],4.510000,0.080000,-0.080000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h39m50.46s,174.9602543,+00d36m12.95s,0.6035960,289.82700000,5.68000000,-5.46900000,13.0240000,0.0920000,-0.0920000,11.1610000,0.0260000,-0.0260000,12.8153000,0.0004550,-0.0004550,2022-01-31,2020-01,2022-01-31
K2-19 c,K2-19,1,1,3,Transit,2015,K2,Published Confirmed,0,<a refstr=PETIGURA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159....2P/abstract target=ref>Petigura et al. 2020</a>,11.89930000000,0.00080000000,-0.00080000000,0,,,,,4.10000000,0.20000000,-0.20000000,0,0.36577813,0.01784284,-0.01784284,0,10.80000000,0.60000000,-0.60000000,0,0.03398060,0.00188781,-0.00188781,0,Mass,0.210000,0.030000,-0.030000,0,,,,,,,,,1,<a refstr=PETIGURA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159....2P/abstract target=ref>Petigura et al. 2020</a>,,5322.00,100.00,-100.00,0,0.820000,0.030000,-0.030000,0,0.880000,0.030000,-0.030000,0,0.0600,0.0500,-0.0500,0,[Fe/H],4.510000,0.080000,-0.080000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h39m50.46s,174.9602543,+00d36m12.95s,0.6035960,289.82700000,5.68000000,-5.46900000,13.0240000,0.0920000,-0.0920000,11.1610000,0.0260000,-0.0260000,12.8153000,0.0004550,-0.0004550,2022-01-31,2020-01,2022-01-31
K2-19 d,K2-19,1,1,3,Transit,2016,K2,Published Confirmed,0,<a refstr=PETIGURA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159....2P/abstract target=ref>Petigura et al. 2020</a>,2.50810000000,0.00020000000,-0.00020000000,0,,,,,1.11000000,0.05000000,-0.05000000,0,0.09902774,0.00446071,-0.00446071,0,10.00000000,,,1,0.03146352,,,1,Mass,,,,,,,,,,,,,1,<a refstr=PETIGURA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159....2P/abstract target=ref>Petigura et al. 2020</a>,,5322.00,100.00,-100.00,0,0.820000,0.030000,-0.030000,0,0.880000,0.030000,-0.030000,0,0.0600,0.0500,-0.0500,0,[Fe/H],4.510000,0.080000,-0.080000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h39m50.46s,174.9602543,+00d36m12.95s,0.6035960,289.82700000,5.68000000,-5.46900000,13.0240000,0.0920000,-0.0920000,11.1610000,0.0260000,-0.0260000,12.8153000,0.0004550,-0.0004550,2022-01-31,2020-01,2022-01-31
gam Lib b,gam Lib,1,1,2,Radial Velocity,2018,Okayama Astrophysical Observatory,Published Confirmed,0,<a refstr=TENG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805343T/abstract target=ref>Teng et al. 2023</a>,414.88000000000,1.24000000000,-1.47000000000,0,1.3190000000,0.0030000000,-0.0030000000,0,,,,,,,,,357.87478628,32.10066911,-34.32546796,0,1.12600000,0.10100000,-0.10800000,0,Msini,0.160000,0.071000,-0.107000,0,,,,,,,,,0,<a refstr=TENG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805343T/abstract target=ref>Teng et al. 2023</a>,K0 III,4879.00,,,0,12.380000,0.300000,-0.240000,0,1.780000,0.240000,-0.240000,0,-0.2700,0.0800,-0.1000,0,[Fe/H],2.500000,0.060000,-0.070000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h35m31.65s,233.8818636,-14d47m22.21s,-14.7895020,47.40170000,0.90845000,-0.90845000,3.9067200,0.0230000,-0.0230000,1.5240000,0.2300000,-0.2300000,3.6493700,0.0057055,-0.0057055,2023-09-19,2023-08,2023-09-19
gam Lib c,gam Lib,1,1,2,Radial Velocity,2018,Okayama Astrophysical Observatory,Published Confirmed,0,<a refstr=TENG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805343T/abstract target=ref>Teng et al. 2023</a>,966.49000000000,2.27000000000,-1.96000000000,0,2.3180000000,0.0040000000,-0.0030000000,0,,,,,,,,,1662.56039702,38.13940884,-46.72077583,0,5.23100000,0.12000000,-0.14700000,0,Msini,0.065000,0.033000,-0.022000,0,,,,,,,,,0,<a refstr=TENG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805343T/abstract target=ref>Teng et al. 2023</a>,K0 III,4879.00,,,0,12.380000,0.300000,-0.240000,0,1.780000,0.240000,-0.240000,0,-0.2700,0.0800,-0.1000,0,[Fe/H],2.500000,0.060000,-0.070000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h35m31.65s,233.8818636,-14d47m22.21s,-14.7895020,47.40170000,0.90845000,-0.90845000,3.9067200,0.0230000,-0.0230000,1.5240000,0.2300000,-0.2300000,3.6493700,0.0057055,-0.0057055,2023-09-19,2023-08,2023-09-19
BD-06 1339 b,BD-06 1339,1,1,2,Radial Velocity,2013,La Silla Observatory,Published Confirmed,1,<a refstr=LO_CURTO_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...551A..59L/abstract target=ref> Lo Curto et al. 2013 </a>,3.87280000000,0.00040000000,-0.00040000000,0,0.0428000000,0.0007000000,-0.0007000000,0,,,,,,,,,8.50000000,1.30000000,-1.30000000,0,0.02700000,0.00400000,-0.00400000,0,Msini,0.000000,,,0,,,,,,,,,0,<a refstr=LO_CURTO_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...551A..59L/abstract target=ref> Lo Curto et al. 2013 </a>,K7/M0 V,4324.00,100.00,-100.00,0,,,,,0.700000,,,0,-0.1400,0.1700,-0.1700,0,[Fe/H],4.740000,0.020000,-0.020000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h53m00.28s,88.2511811,-05d59m46.82s,-5.9963378,20.26950000,0.02200000,-0.02180000,9.7000000,0.0300000,-0.0300000,6.3050000,0.0180000,-0.0180000,9.1067700,0.0006020,-0.0006020,2014-05-14,2013-03,2014-05-14
