,Unnamed: 0,pl_name,hostname,pl_type,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,st_spectype,st_teff,st_rad,st_mass,st_met,companion_type,pl_sus_data,discoverymethod,pl_refname,baseline,num_obs
0,0,55 Cnc b,55 Cnc,WJ,2,5,14.6516,0.1134,,,255.4,0.8036,0.0,0.01,-0.01,,5172.0,0.943,0.905,0.35,2.0,0.0,Radial Velocity,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,9251.014220199999,783.0
1,1,55 Cnc c,55 Cnc,CS,2,5,44.3989,0.2373,,,51.2,0.1611,0.03,0.02,-0.02,,5172.0,0.943,0.905,0.35,1.0,0.0,Radial Velocity,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,9251.014220199999,783.0
2,2,55 Cnc d,55 Cnc,CJ,2,5,5574.2,5.957,,,991.6,3.12,0.13,0.02,-0.02,,5172.0,0.943,0.905,0.35,550.0,0.0,Radial Velocity,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,9251.014220199999,783.0
3,3,55 Cnc e,55 Cnc,SE,2,5,0.7365474,0.01544,1.875,0.1672763,7.99,0.02513923,0.05,0.03,-0.03,,5172.0,0.943,0.905,0.35,1.0,0.0,Radial Velocity,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,9251.014220199999,783.0
4,4,55 Cnc f,55 Cnc,CS,2,5,259.88,0.7708,,,47.8,0.1503,0.08,0.05,-0.04,,5172.0,0.943,0.905,0.35,1.0,0.0,Radial Velocity,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,9251.014220199999,783.0
5,5,WASP-53 b,WASP-53,HJ,1,2,3.3098443,0.04101,12.038466,1.074,677.61356,2.132,0.03,0.1,-0.1,,4953.0,0.798,0.839,0.22,1.0,1.0,Transit,<a refstr=TRIAUD_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017MNRAS.467.1714T/abstract target=ref>Triaud et al. 2017</a>,2178.0759130000006,181.0
6,6,WASP-53 c,WASP-53,CJ,1,2,2840.0,3.73,,,5196.5205,16.35,0.8369,0.0069,-0.007,,4953.0,0.798,0.839,0.22,7.0,0.0,Radial Velocity,<a refstr=TRIAUD_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017MNRAS.467.1714T/abstract target=ref>Triaud et al. 2017</a>,2178.0759130000006,181.0
7,7,WASP-47 b,WASP-47,HJ,1,4,4.159151,0.051598424152623,12.86,1.14729433,374.0,1.1767356,0.0006,0.0005,-0.0002,,,1.156,1.058,,2.0,0.0,Transit,<a refstr=NASCIMBENI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...673A..42N/abstract target=ref>Nascimbeni et al. 2023</a>,2392.45327299973,195.0
8,8,WASP-47 c,WASP-47,CJ,1,4,589.57,1.402782148863042,,,447.0,1.40641928,0.264,0.007,-0.012,,,1.156,1.058,,28.0,0.0,Radial Velocity,<a refstr=NASCIMBENI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...673A..42N/abstract target=ref>Nascimbeni et al. 2023</a>,2392.45327299973,195.0
9,9,WASP-47 d,WASP-47,SE,1,4,9.030501,0.0865182798610039,3.65,0.32563175,15.5,0.04876845,0.001,0.0008,-0.0007,,,1.156,1.058,,1.0,0.0,Transit,<a refstr=NASCIMBENI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...673A..42N/abstract target=ref>Nascimbeni et al. 2023</a>,2392.45327299973,195.0
