# This file was produced by the NS Exoplanet rchive  http://exoplanetarchive.ipac.caltech.edu
# Thu ug  7 13:52:27 2025
#
# User preference: *
#
# CONSTRINT:  where (disc_year < 2025
# CONSTRINT:  and pl_orbsmaxstr < 0.1
# CONSTRINT:  and pl_rvampstr > 1
# CONSTRINT:  and st_massstr in (0.6,1.6))
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major xis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major xis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major xis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major xis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN pl_rvamp:       Radial Velocity mplitude [m/s]
# COLUMN pl_rvamperr1:   Radial Velocity mplitude Upper Unc. [m/s]
# COLUMN pl_rvamperr2:   Radial Velocity mplitude Lower Unc. [m/s]
# COLUMN pl_rvamplim:    Radial Velocity mplitude Limit Flag
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
# COLUMN rastr:          R [sexagesimal]
# COLUMN ra:             R [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_vmagerr1:    V (Johnson) Magnitude Upper Unc
# COLUMN sy_vmagerr2:    V (Johnson) Magnitude Lower Unc
# COLUMN sy_kmag:        Ks (2MSS) Magnitude
# COLUMN sy_kmagerr1:    Ks (2MSS) Magnitude Upper Unc
# COLUMN sy_kmagerr2:    Ks (2MSS) Magnitude Lower Unc
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN sy_gaiamagerr1: Gaia Magnitude Upper Unc
# COLUMN sy_gaiamagerr2: Gaia Magnitude Lower Unc
#
pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,pl_rvamp,pl_rvamperr1,pl_rvamperr2,pl_rvamplim,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
HATS74  b,HATS74 ,2,1,Transit,2021,HATSouth,0,1.73185606000,0.00000055000,-0.00000055000,0,0.0238400000,0.0001100000,-0.0001100000,0,11.56766808,0.23538859,-0.23538859,0,1.03200000,0.02100000,-0.02100000,0,464.02947422,44.49597698,-44.49597698,0,1.46000000,0.14000000,-0.14000000,0,Mass,0.044000,,,1,106.9000,2.7090,-2.7090,0,895.10,5.70,-5.70,0,0,346.00000,34.00000,-34.00000,0,,3776.90,9.50,-9.50,0,0.575800,0.005500,-0.005500,0,0.601000,0.008000,-0.008000,0,0.5140,0.0330,-0.0210,0,[Fe/H],4.696000,0.011000,-0.011000,0,11h24m03.55s,171.0147921,-19d33m25.05s,-19.5569588,299.38900000,7.18800000,-6.86500000,17.2600000,0.2000000,-0.2000000,12.3610000,0.0310000,-0.0310000,15.9837000,0.0009210,-0.0009210
HATS75 b,HATS75,1,1,Transit,2021,HATSouth,0,2.78865560000,0.00000110000,-0.00000110000,0,0.0327420000,0.0001340000,-0.0000990000,0,9.90873894,0.14571675,-0.14571675,0,0.88400000,0.01300000,-0.01300000,0,156.05374784,12.39530787,-12.39530787,0,0.49100000,0.03900000,-0.03900000,0,Mass,0.064000,,,1,59.2600,0.6959,-0.6959,0,772.30,2.30,-2.30,0,0,99.20000,7.90000,-7.90000,0,,3790.40,5.70,-5.70,0,0.584800,0.002600,-0.002600,0,0.601700,0.007400,-0.005500,0,0.5220,0.0510,-0.0280,0,[Fe/H],4.683100,0.006900,-0.006900,0,04h03m47.85s,60.9493919,-25d24m32.12s,-25.4089214,194.96400000,1.12500000,-1.11100000,15.6890000,0.2400000,-0.2400000,11.5840000,0.0210000,-0.0210000,14.9033000,0.0004220,-0.0004220
TOI1075 b,TOI1075,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),0,0.60473280000,0.00000320000,-0.00000320000,0,0.0115900000,0.0002300000,-0.0002000000,0,1.79100000,0.11600000,-0.08100000,0,0.15978259,0.01034884,-0.00722635,0,9.95000000,1.36000000,-1.30000000,0,0.03130620,0.00427904,-0.00409026,0,Mass,0.000000,,,0,509.2000,18.7000,-20.4000,0,1323.00,44.00,-44.00,0,0,10.95000,1.50000,-1.43000,0,K9 V/M0 V,3875.00,75.00,-75.00,0,0.581000,0.024000,-0.024000,0,0.604000,0.030000,-0.030000,0,-0.0800,0.0900,-0.0900,0,[Fe/H],4.690000,0.030000,-0.030000,0,20h39m53.09s,309.9712091,-65d26m58.92s,-65.4496994,61.45920000,0.09435000,-0.09435000,12.6150000,0.0690000,-0.0690000,9.1150000,0.0230000,-0.0230000,12.0544000,0.0002320,-0.0002320
TOI1411 b,TOI1411,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),0,1.45205270000,0.00000170000,-0.00000170000,0,0.0212200000,0.0004000000,-0.0004000000,0,1.19880592,0.04935874,-0.04474058,0,0.10695049,0.00440350,-0.00399149,0,2.00000000,1.20000000,-1.10000000,0,0.00629270,0.00377562,-0.00346099,0,Mass,0.000000,,,0,266.8500,,,0,976.40,18.20,-17.55,0,0,1.55000,0.93000,-0.93000,0,,4115.00,42.00,-45.00,0,0.614000,0.018500,-0.016900,0,0.604500,0.014800,-0.012900,0,0.0120,0.0710,-0.0750,0,[Fe/H],4.640000,0.015000,-0.016000,0,15h31m47.05s,232.9460470,+47d03m19.98s,47.0555507,32.47780000,0.02250000,-0.02250000,10.5100000,0.0300000,-0.0300000,7.2500000,0.0210000,-0.0210000,9.8772300,0.0005260,-0.0005260
TOI4201 b,TOI4201,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),0,3.58191940000,0.00000110000,-0.00000110000,0,0.0400000000,0.0010000000,-0.0010000000,0,13.67495645,0.44835923,-0.44835923,0,1.22000000,0.04000000,-0.04000000,0,788.21444936,28.60455663,-28.60455663,0,2.48000000,0.09000000,-0.09000000,0,Mass,0.041000,0.015000,-0.015000,0,45.2000,3.2000,-3.2000,0,725.00,20.00,-20.00,0,0,456.30000,12.50000,-12.50000,0,M1.0+/-0.5,3794.00,79.00,-79.00,0,0.630000,0.020000,-0.020000,0,0.610000,0.020000,-0.020000,0,0.5200,0.0800,-0.0800,0,[Fe/H],4.640000,0.030000,-0.030000,0,06h01m53.93s,90.4747237,-13d27m40.94s,-13.4613710,189.01100000,0.98850000,-0.98850000,15.1630000,0.0800000,-0.0800000,11.3680000,0.0250000,-0.0250000,14.5001000,0.0004410,-0.0004410
TOI5344 b,TOI5344,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),0,3.79262200000,0.00000620000,-0.00000620000,0,0.0404100000,0.0007500000,-0.0007500000,0,10.60369574,0.23538859,-0.23538859,0,0.94600000,0.02100000,-0.02100000,0,130.94530368,12.71313628,-12.71313628,0,0.41200000,0.04000000,-0.04000000,0,Mass,0.054000,,,1,38.0000,3.0000,-3.0000,0,689.00,12.00,-12.00,0,0,74.40000,6.80000,-6.80000,0,,3747.00,64.00,-64.00,0,0.588000,0.011000,-0.011000,0,0.612000,0.034000,-0.034000,0,0.4250,0.0880,-0.0880,0,[Fe/H],4.686000,0.014000,-0.014000,0,04h13m03.89s,63.2662165,+20d54m54.56s,20.9151568,138.36700000,1.33600000,-1.31100000,15.4020000,0.1490000,-0.1490000,10.8600000,0.0180000,-0.0180000,14.3361000,0.0005890,-0.0005890
L1689 b,L1689,1,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),0,1.40152604000,0.00000074000,-0.00000082000,0,0.0208000000,0.0006000000,-0.0006000000,0,1.63000000,0.14000000,-0.14000000,0,0.14541911,0.01248998,-0.01248998,0,4.07000000,0.45000000,-0.45000000,0,0.01280565,0.00141586,-0.00141586,0,Mass,0.000000,,,0,149.3748,,,0,998.00,39.00,-39.00,0,0,3.20000,0.29000,-0.30000,0,M0.5 V,3842.00,32.00,-32.00,0,0.604000,0.037000,-0.037000,0,0.614000,0.055000,-0.055000,0,-0.0300,0.0300,-0.0300,0,[Fe/H],4.840000,0.080000,-0.080000,0,23h20m06.86s,350.0285917,-60d03m56.63s,-60.0657292,25.14960000,0.02390000,-0.02390000,11.0050000,0.0180000,-0.0180000,7.0820000,0.0310000,-0.0310000,10.2316000,0.0008390,-0.0008390
TOI260 b,TOI260,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),0,13.47585300000,0.00001300000,-0.00001100000,0,0.0943000000,0.0016000000,-0.0016000000,0,1.71000000,0.08000000,-0.08000000,0,0.15255624,0.00713713,-0.00713713,0,4.23000000,1.60000000,-1.60000000,0,0.01330907,0.00503416,-0.00503416,0,Mass,0.000000,,,0,10.1838,,,0,493.00,12.00,-12.00,0,0,1.57000,0.59000,-0.57000,0,K8 V,4026.00,14.00,-14.00,0,0.607000,0.014000,-0.014000,0,0.616000,0.032000,-0.032000,0,-0.4700,0.0300,-0.0300,0,[Fe/H],4.450000,0.050000,-0.050000,0,00h19m05.52s,4.7730178,-09d57m58.14s,-9.9661505,20.18520000,0.02320000,-0.02310000,9.9000000,0.0300000,-0.0300000,6.5490000,0.0210000,-0.0210000,9.3124000,0.0004580,-0.0004580
NGTS1 b,NGTS1,1,1,Transit,2017,Next-Generation Transit Survey (NGTS),0,2.64729800000,0.00002000000,-0.00002000000,0,0.0326000000,0.0047000000,-0.0045000000,0,14.90797000,6.83749000,-3.69897000,0,1.33000000,0.61000000,-0.33000000,0,258.07796000,20.97678000,-23.83725000,0,0.81200000,0.06600000,-0.07500000,0,Mass,0.016000,0.023000,-0.012000,0,65.3000,5.1000,-5.1000,0,790.00,20.00,-20.00,0,0,166.00000,11.00000,-11.00000,0,M0.5,3916.00,71.00,-63.00,0,0.573000,0.077000,-0.077000,0,0.617000,0.023000,-0.062000,0,0.0000,,,0,[M/H],4.710000,0.230000,-0.230000,0,05h30m51.41s,82.7142134,-36d37m51.53s,-36.6309812,218.12100000,1.03700000,-1.03700000,15.6670000,0.1370000,-0.1370000,11.9360000,0.0270000,-0.0270000,14.8661000,0.0004870,-0.0004870
GJ9404 b,GJ9404,1,1,Radial Velocity,2023,Roque de los Muchachos Observatory,0,13.45860000000,0.00440000000,-0.00670000000,0,0.0943000000,0.0036000000,-0.0036000000,0,3.48000000,,,0,0.31000000,,,0,11.90000000,1.90000000,-1.90000000,0,0.03744159,0.00597807,-0.00597807,0,Msini,0.490000,0.110000,-0.130000,0,,,,,,,,,0,5.13000,1.04000,-0.85000,0,M2V,3811.00,,,0,0.626041,0.018869,-0.018869,0,0.620000,0.070000,-0.070000,0,,,,,,4.629360,0.011609,-0.011609,0,12h19m23.33s,184.8472095,+28d22m57.77s,28.3827126,23.88390000,0.02540000,-0.02530000,10.6200000,0.1000000,-0.1000000,6.7960000,0.0200000,-0.0200000,9.8702100,0.0009600,-0.0009600
